Taxkey,Address,lat,lng
145-0432-000,6610 N 107TH ST,43.137742,-88.044786
294-0233-000,3275 N 93RD ST,43.0785619,-88.0291901
303-0010-000,8110 W CENTER ST,43.068228,-88.01413699999999
292-0365-000,3245 N 79TH ST,43.078128,-88.011428
302-0364-000,3018 N 87TH ST,43.073792,-88.02093699999999
303-0932-000,2805 N 80TH ST,43.069928,-88.012788
303-0888-000,2879 N 79TH ST,43.0714929,-88.011503
303-1175-000,2771 N 81ST ST,43.069497,-88.01404699999999
114-9982-000,7101 N 107TH ST,43.146752,-88.04622499999999
294-0341-000,3177 N 95TH ST,43.076745,-88.031632
223-0354-000,9111 W GLENDALE AV,43.10111500000001,-88.026607
252-0425-000,4156 N 80TH ST,43.0930681,-88.01240419999999
224-0475-000,4657 N 77TH ST,43.10234579999999,-88.0086091
261-1084-000,3764 N 98TH ST,43.085537,-88.035112
303-0590-000,3002 N 80TH ST,43.0735935,-88.0120965
293-0442-000,3460 N 92ND ST,43.081912,-88.02725699999999
263-1086-000,7936 W KEEFE AV,43.082856,-88.012075
293-0861-000,3318 N 89TH ST,43.079276,-88.02347499999999
261-0769-000,3535 N 94TH ST,43.0831919,-88.030261
223-0208-000,4741 N 91ST ST,43.104132,-88.02647999999999
303-0320-000,2903 N 77TH ST,43.0718,-88.009028
261-1170-000,3625 N 99TH ST,43.0837119,-88.0368924
293-0755-000,3333 N 89TH ST,43.0795971,-88.02412249999999
263-1093-000,3620 N 80TH ST,43.08396,-88.01194199999999
263-0351-000,3837 N 80TH ST,43.08708499999999,-88.012842
262-0657-000,3851 N 86TH ST,43.087228,-88.02049
146-0201-000,6705 N 108TH ST,43.139095,-88.047199
109-0144-000,7333 N 95TH ST,43.151112,-88.031662
301-0016-000,2801 N 98TH ST,43.069899,-88.035302
263-0752-100,8300 W KEEFE AV,43.082806,-88.0164829
303-0512-000,3014 N 77TH ST,43.073845,-88.008332
302-0797-000,2751 N 87TH ST,43.069003,-88.02163499999999
261-0027-000,3823 N 97TH PL,43.08645629999999,-88.03465070000001
302-0354-000,8621 W BURLEIGH ST,43.0748419,-88.020755
253-0556-000,8931 W CONGRESS ST,43.096719,-88.02494399999999
149-9926-200,11200 W APPLETON AV,43.132802,-88.051481
116-0158-000,7024 N 97TH ST,43.145854,-88.03253099999999
181-0602-000,5958 N 119TH ST,43.125842,-88.059984
116-0122-000,7075 N 97TH ST,43.146366,-88.03320099999999
294-0054-000,3301 N 96TH ST,43.078888,-88.032822
294-0068-000,9728 W CONCORDIA AV,43.078953,-88.03460199999999
148-0108-000,11901 W LYNX AV,43.12973299999999,-88.06051599999999
261-0760-000,3462 N 94TH ST,43.08193199999999,-88.029578
148-0077-000,12042 W LYNX AV,43.130436,-88.062518
252-0321-100,4076 N 83RD ST,43.0915913,-88.0159463
261-0877-000,3431 N 96TH ST,43.081215,-88.03249
261-0746-000,3445 N 93RD ST,43.081559,-88.0291249
217-0071-000,10813 W STARK ST,43.106411,-88.04762900000001
261-0471-000,3927 N 98TH ST,43.088596,-88.035144
223-0364-000,8961 W HERBERT AV,43.1017659,-88.0241506
223-0506-000,9100 W GRANTOSA DR,43.1000159,-88.0264119
217-0036-100,4953 N 107TH ST,43.1078819,-88.04634999999999
261-0622-000,9500 W LISBON AV,43.086712,-88.03099
293-0131-000,3239 N 86TH ST,43.077948,-88.02042999999999
263-0866-000,8019 W KEEFE AV,43.08227100000001,-88.013094
303-0525-000,3049 N 77TH ST,43.07460100000001,-88.008994
184-0238-000,5268 N 107TH ST,43.113611,-88.045306
302-0531-000,2835 N 85TH ST,43.0705839,-88.01914599999999
334-0113-000,9521 W CENTER ST,43.0673869,-88.031412
261-0506-000,3855 N 94TH ST,43.0875312,-88.030247
302-0039-000,3052 N 91ST ST,43.074487,-88.025925
261-0772-000,3517 N 94TH ST,43.0828044,-88.03017469999999
292-0774-000,3171 N 83RD ST,43.076825,-88.016561
254-0089-000,9837 W SARASOTA PL,43.0903909,-88.036541
180-0182-000,10810 W WREN AV,43.125932,-88.047198
