Taxkey,Address,lat,lng
315-0902-000,1224 E ROADSMEET ST,43.0721972,-87.8956863
315-0703-100,2915 N DOUSMAN ST,43.071508,-87.89688699999999
314-1262-000,708 E HADLEY ST,43.069437,-87.90232
320-0611-200,2564 N NEWHALL ST,43.065348,-87.890095
360-0419-000,1612 N ASTOR ST,43.050935,-87.89925199999999
280-9985-000,3272 N HUMBOLDT BL,43.0781443,-87.8974128
316-0509-000,2935 N DOWNER AV,43.071779,-87.878367
316-0956-000,2953 N MARYLAND AV,43.072183,-87.88334100000002
355-1204-000,2100 N OAKLAND AV,43.0582097,-87.8885822
280-1098-000,3237 N BARTLETT AV,43.076574,-87.889403
320-0203-000,2564 N HUMBOLDT BL,43.065254,-87.897458
360-0017-000,1631 N VAN BUREN ST,43.051401,-87.9037779
320-0240-000,1221 E CLARKE ST,43.06541,-87.89594699999999
314-0515-000,2758 N FRATNEY ST,43.0687477,-87.9013214
354-0673-000,1821 N HUMBOLDT AV,43.0549553,-87.8982747
315-0440-000,3007 N NEWHALL ST,43.07308500000001,-87.890688
279-0179-000,3249 N CRAMER ST,43.076773,-87.88692999999999
316-0502-000,2506 E LOCUST ST,43.0711524,-87.8789133
316-0073-000,2823 N CRAMER ST,43.069989,-87.887061
278-0038-000,3124 N HACKETT AV,43.07526499999999,-87.876403
355-0452-000,2023 N NEWHALL ST,43.05844,-87.890872
319-0526-000,1924 E BRADFORD AV,43.063919,-87.885965
315-0138-000,1711 E RIVERSIDE PL,43.0686511,-87.8887556
314-0303-000,2850 N FRATNEY ST,43.070403,-87.90120999999999
321-0828-000,2540 N PIERCE ST,43.064789,-87.902479
360-0024-100,624 E PLEASANT ST,43.0507042,-87.90379349999999
280-1031-000,3118 N NEWHALL ST,43.0751267,-87.8900383
314-0054-000,724 E CENTER ST,43.067737,-87.902002
320-1406-000,1117 E WALWORTH ST,43.0609213,-87.8972079
318-0026-000,2626 N TERRACE AV,43.06474,-87.87378199999999
