Taxkey,Address,lat,lng
158-0255-000,6129 N 37TH ST,43.129592,-87.958823
209-0189-000,5116 N 50TH ST,43.1105469,-87.97476999999999
191-9895-000,5341 N 47TH ST,43.114742,-87.971682
192-1101-000,5477 N 40TH ST,43.1173094,-87.96260559999999
208-0139-000,5140 N 42ND ST,43.110767,-87.964705
171-9784-000,4221 W FLORIST AV,43.126337,-87.96533699999999
206-0307-000,5041 N 23RD ST,43.1092129,-87.940738
171-0432-000,5716 N 41ST ST,43.121918,-87.963101
190-1910-000,5520 N 54TH ST,43.118027,-87.979591
171-9808-000,5665 N 40TH ST,43.120733,-87.96262
208-0536-000,4860 N 37TH ST,43.105898,-87.958694
230-0527-000,4644 N 28TH ST,43.101857,-87.9476
205-0130-000,4865 N 18TH ST,43.1057569,-87.933256
158-0151-000,6001 N 35TH ST,43.1268345,-87.9563136
190-9859-000,5242 N 55TH ST,43.11296,-87.98088399999999
205-0626-000,4903 N 18TH ST,43.106601,-87.933235
170-0428-000,5791 N 32ND ST,43.122943,-87.952894
195-0278-100,5419 N 20TH ST,43.1158651,-87.9367987
192-1146-000,5441 N 41ST ST,43.116537,-87.96388999999999
245-9993-000,4354 N TEUTONIA AV,43.0966809,-87.942137
