Taxkey,Address,lat,lng
561-1502-000,3815 S 96TH ST,42.97493590000001,-88.0329781
491-1046-000,5166 W JERELYN PL,42.997818,-87.979075
571-0642-000,6950 W NORWICH ST,42.9720336,-88.00122119999999
557-0055-000,6613 W DODGE PL,42.97770750000001,-87.9963144
533-0926-000,3344 S 35TH ST,42.983807,-87.957718
533-0418-000,3121 S 34TH ST,42.987899,-87.95718099999999
533-0236-000,3121 S 32ND ST,42.987918,-87.954877
533-0929-000,3366 S 35TH ST,42.983379,-87.957725
512-1134-000,3026 S 45TH ST,42.9896392,-87.97015619999999
560-9961-114,8801 W TRIPOLI AV,42.974402,-88.022908
556-0462-000,3755 S 53RD ST,42.976308,-87.98088899999999
527-0153-000,8221 W HOLT AV,42.982574,-88.015902
532-0454-000,3146 S 42ND ST,42.987251,-87.96629899999999
512-0885-000,2870 S 46TH ST,42.992288,-87.97121399999999
512-0945-000,2960 S 46TH ST,42.99069,-87.971222
533-0925-000,3338 S 35TH ST,42.9839429,-87.9577149
511-0115-000,2901 S 38TH ST,42.991861,-87.962031
513-0513-000,2776 S 55TH ST,42.99395699999999,-87.982227
492-0279-000,4905 W MONTROSE AV,42.99956,-87.974616
512-1136-000,3036 S 45TH ST,42.989371,-87.97000899999999
556-0456-000,3725 S 53RD ST,42.97696699999999,-87.98087799999999
560-0426-000,3728 S 88TH ST,42.976691,-88.022381
490-1204-000,2617 S 65TH ST,42.997044,-87.99370890000002
529-0609-000,3337 S 65TH ST,42.98392500000001,-87.994152
514-9974-000,2712 S 67TH ST,42.995235,-87.995487
573-0622-000,5633 W HOWARD AV,42.973586,-87.985306
492-0233-000,4602 W SUMAC PL,42.99893,-87.971779
556-0503-000,3520 S 60TH ST,42.9805769,-87.987466
514-0833-000,2762 S 64TH ST,42.994265,-87.992752
514-0424-000,6200 W BENNETT AV,42.989523,-87.990349
533-0004-000,3138 S 34TH ST,42.987514,-87.95652000000001
572-9972-100,3958 S 68TH ST,42.972066,-87.997501
560-0247-000,3659 S 86TH ST,42.977846,-88.020635
490-1118-000,2550 S 65TH ST,42.9981,-87.99312599999999
490-9875-100,6750 W HARRISON AV,42.9975861,-87.997191
573-0724-000,4022 S 58TH ST,42.971518,-87.98643799999999
515-1478-110,2835 S 68TH ST,42.9929864,-87.9979123
531-0611-000,3167 S 43RD ST,42.986824,-87.96834799999999
532-0473-000,4203 W OKLAHOMA AV,42.988058,-87.9668219
514-0069-000,2757 S 63RD ST,42.9944468,-87.992126
510-0417-000,3200 W OKLAHOMA AV,42.98877,-87.954589
492-0132-000,4603 W FILLMORE DR,42.9976429,-87.971763
513-0307-000,5409 W ARIZONA ST,42.9921099,-87.981669
490-1039-000,2577 S 61ST ST,42.997616,-87.98929199999999
512-1004-000,2954 S 44TH ST,42.9908164,-87.96880829999999
490-1031-000,2529 S 61ST ST,42.998603,-87.98927200000001
512-0776-000,2766 S 45TH ST,42.9942,-87.969934
510-0161-000,2841 S 33RD ST,42.9930189,-87.955879
533-0208-000,3140 S 32ND ST,42.9874859,-87.95420899999999
512-1206-000,2928 S 47TH ST,42.9913636,-87.9725436
556-0353-000,3845 S 51ST ST,42.9747337,-87.9784031
513-0211-000,3007 S 52ND ST,42.9900711,-87.9792738
559-0127-000,3527 S 82ND ST,42.980265,-88.01557799999999
527-9950-210,3142 S 84TH ST,42.9871709,-88.017135
511-0502-000,3013 S 37TH ST,42.989966,-87.9608499
514-9967-000,2800 S 68TH ST,42.993648,-87.99722299999999
532-0143-000,3470 S 39TH ST,42.9815029,-87.962774
