Taxkey,Address,lat,lng
280-1607-000,3354 N GORDON PL,43.079488,-87.89497399999999
317-0272-000,2845 N HACKETT AV,43.0703289,-87.87694599999999
318-0119-000,2665 N LAKE DR,43.066564,-87.87464299999999
278-0688-000,3417 N HACKETT AV,43.07991699999999,-87.876964
278-0743-000,3333 N SHEPARD AV,43.078345,-87.874719
279-0304-000,3482 N FREDERICK AV,43.081477,-87.88360399999999
281-2002-000,3405 N HUMBOLDT BL,43.079904,-87.898017
280-0714-100,3225 N DOUSMAN ST,43.0771466,-87.89662059999999
354-0644-000,1815 N MARSHALL ST,43.054829,-87.9011359
355-0665-000,1870 N WARREN AV,43.055904,-87.89335299999999
355-0863-000,1323 E HAMILTON ST,43.0542265,-87.89419439999999
320-1118-000,2464 N BARTLETT AV,43.062883,-87.88891
355-0277-000,1926 N BARTLETT AV,43.05666600000001,-87.8914269
355-0742-000,1748 N PULASKI ST,43.054215,-87.89605
320-0632-000,1605 E WEBSTER PL,43.0647773,-87.89022469999999
355-0822-000,1728 N HUMBOLDT AV,43.0536839,-87.897725
280-0401-000,3494 N HUMBOLDT BL,43.081817,-87.897139
316-0925-000,3043 N MARYLAND AV,43.073796,-87.88331099999999
316-1290-000,2733 N DOWNER AV,43.068132,-87.878423
315-0628-000,1202 E CHAMBERS ST,43.074047,-87.896267
315-0327-000,2930 N NEWHALL ST,43.071777,-87.8899969
281-2065-000,3145 N HUMBOLDT BL,43.07580979999999,-87.8980002
279-0158-000,3376 N CRAMER ST,43.079299,-87.886133
281-1210-000,3312 N WEIL ST,43.078693,-87.89860399999999
281-0766-000,3440 N FRATNEY ST,43.0806759,-87.90096799999999
280-9995-200,1129 E CONCORDIA AV,43.0787836,-87.8966847
280-0801-000,3413 N DOUSMAN ST,43.080433,-87.896665
316-1654-000,3022 N FARWELL AV,43.073379,-87.881328
317-0271-000,2849 N HACKETT AV,43.070502,-87.877184
278-0254-000,3268 N SHEPARD AV,43.077145,-87.874055
317-0223-000,2822 N SHEPARD AV,43.06994599999999,-87.874206
359-0164-000,1656 N HUMBOLDT AV,43.052006,-87.897753
317-0090-000,3040 N DOWNER AV,43.0737049,-87.87757599999999
321-0710-000,2649 N HUMBOLDT BL,43.0667298,-87.89831530000001
316-1291-000,2729 N DOWNER AV,43.068024,-87.8784249
360-0345-000,1668 N VAN BUREN ST,43.052257,-87.903002
316-0911-000,3026 N FREDERICK AV,43.073456,-87.883802
355-0111-100,2102 N CAMBRIDGE AV,43.058881,-87.89169199999999
280-1027-000,3101 N BARTLETT AV,43.074808,-87.88945600000001
316-0725-000,2844 N MURRAY AV,43.070433,-87.885093
320-0519-000,2631 N BARTLETT AV,43.06694,-87.88954299999999
314-0049-000,2732 N FRATNEY ST,43.0682338,-87.90131459999999
281-2037-000,3144 N BREMEN ST,43.075761,-87.899913
280-1164-000,3266 N BARTLETT AV,43.077103,-87.888673
314-0115-000,2824 N PIERCE ST,43.0699134,-87.9025144
321-0829-000,2544 N PIERCE ST,43.0648613,-87.9025642
316-0027-000,2762 N OAKLAND AV,43.0687804,-87.8875613
