Taxkey,Address,lat,lng
359-1542-000,1522 N PROSPECT AV,43.0495192,-87.89335419999999
360-1608-000,601 E OGDEN AV,43.0477618,-87.9043205
355-1544-000,1920 N FARWELL AV,43.055515,-87.88973999999999
355-1553-000,1920 N FARWELL AV,43.055515,-87.88973999999999
078-0167-000,7972 N 107TH ST,43.16179,-88.042688
355-1901-000,1816 N ARLINGTON PL,43.0548554,-87.8946634
466-1596-000,2121121 S KINNICKINNIC AV,42.9956484,-87.89618209999999
501-0472-000,25253B S SHORE DR,42.9940871,-87.88229989999999
501-0502-000,25258B S SHORE DR,42.9940871,-87.88229989999999
354-1175-000,2050 N COMMERCE ST,43.0575376,-87.8996442
392-2863-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
392-2743-000,270 E HIGHLAND AV,43.04523349999999,-87.90901699999999
359-2133-000,1313 N FRANKLIN PL,43.0471958,-87.8974258
359-2201-000,1313 N FRANKLIN PL,43.0471958,-87.8974258
359-2174-000,1313 N FRANKLIN PL,43.0471958,-87.8974258
359-2144-000,1313 N FRANKLIN PL,43.0471958,-87.8974258
396-0150-000,234112 N BROADWAY,43.03910339999999,-87.9078627
392-2497-000,108 W WELLS ST,43.0404776,-87.91222479999999
554-0126-000,3546 S TOLDT CR,42.97961,-87.96495999999999
554-0221-000,3549 S TOLDT CR,42.979707,-87.9654089
554-0215-000,3558 S 41ST ST,42.979707,-87.9654089
396-0437-000,239 E CHICAGO ST,43.0322876,-87.90797350000001
255-0211-000,4215368 N 100TH ST,43.1521081,-88.0367248
255-0096-000,4215141 N 100TH ST,43.1521081,-88.0367248
353-1410-000,234 E RESERVOIR AV,43.055527,-87.90898
525-1589-000,3243 S 92ND ST,42.985542,-88.028043
393-0690-000,1108 N MILWAUKEE ST,43.045163,-87.90646699999999
393-0699-000,1108 N MILWAUKEE ST,43.045163,-87.90646699999999
353-1288-000,1735 N HUBBARD ST,43.0536699,-87.90820599999999
393-0485-100,777 N PROSPECT AV,43.040856,-87.89988699999999
393-0499-100,777 N PROSPECT AV,43.040856,-87.89988699999999
355-1893-000,2011 N CAMBRIDGE AV,43.057628,-87.892348
354-1814-000,1902 N COMMERCE ST,43.0560147,-87.90366279999999
354-1874-000,1902 N COMMERCE ST,43.0560147,-87.90366279999999
355-1334-100,1707 N PROSPECT AV,43.052731,-87.89134399999999
557-1445-000,6440 W HOWARD AV,42.97430500000001,-87.993146
359-2041-000,1641 N FRANKLIN PL,43.051581,-87.89725299999999
354-1709-000,1818 N WATER ST,43.05478069999999,-87.9016832
315-1474-000,1220 E LOCUST ST,43.0716167,-87.89567559999999
393-0552-000,741 N MILWAUKEE ST,43.0397571,-87.90700679999999
319-1351-000,2024 E GREENWICH AV,43.0625732,-87.884645
278-1366-000,3122 E KENWOOD BL,43.075088,-87.87114199999999
429-0158-000,601 E ERIE ST,43.0271682,-87.903069
354-1073-000,1888 N WATER ST,43.05578999999999,-87.900013
559-1961-000,83381 W HOWARD AV,42.9739484,-87.97332109999999
392-2645-000,923 E KILBOURN AV,43.0425865,-87.8997181
360-1092-019,1028 E JUNEAU AV,43.04605000000001,-87.898782
360-1215-100,1028 E JUNEAU AV,43.04605000000001,-87.898782
360-1179-000,1028 E JUNEAU AV,43.04605000000001,-87.898782
360-1216-200,1028 E JUNEAU AV,43.04605000000001,-87.898782
360-1132-000,1028 E JUNEAU AV,43.04605000000001,-87.898782
360-1136-000,1028 E JUNEAU AV,43.04605000000001,-87.898782
360-1156-000,1028 E JUNEAU AV,43.04605000000001,-87.898782
359-1753-000,1660 N PROSPECT AV,43.0515809,-87.8909655
359-1798-000,1660 N PROSPECT AV,43.0515809,-87.8909655
359-1656-000,1660 N PROSPECT AV,43.0515809,-87.8909655
356-1222-000,2011 N PROSPECT AV,43.056695,-87.887545
396-0266-000,191 N BROADWAY,43.0324317,-87.9072
359-2103-000,1580 N FARWELL AV,43.051038,-87.89363
429-0389-000,311 E ERIE ST,43.030022,-87.906285
147-0050-000,11926 W MILL RD,43.135981,-88.061539
147-0133-000,11957 W APPLETON AV,43.135981,-88.061539
031-0209-000,8935 N 70TH ST,43.183614,-87.99844999999999
031-0213-000,8943 N 70TH ST,43.183614,-87.99844999999999
031-0299-000,9129 N 70TH ST,43.183614,-87.99844999999999
007-0008-000,9174 N 70TH ST,43.187306,-87.99629
327-1738-000,4117 W MEINECKE AV,43.0623069,-87.966848
327-1767-000,2339 N GRANT BL,43.0623069,-87.966848
072-0802-000,8104 N DENMARK CT,43.165355,-88.03154599999999
462-1648-000,215 W MAPLE ST,43.0108412,-87.9130761
462-1670-000,215 W MAPLE ST,43.0108412,-87.9130761
428-0891-000,106 W SEEBOTH ST,43.0311892,-87.9114117
428-0834-000,106 W SEEBOTH ST,43.0311892,-87.9114117
428-0915-100,106 W SEEBOTH ST,43.0311892,-87.9114117
428-0828-000,106 W SEEBOTH ST,43.0311892,-87.9114117
428-0838-000,106 W SEEBOTH ST,43.0311892,-87.9114117
428-0796-000,106 W SEEBOTH ST,43.0311892,-87.9114117
491-1204-000,265024 S 60TH ST,42.9903297,-87.9876518
530-1597-000,3239305 S 58TH ST,42.9814055,-87.98656989999999
530-1584-000,3239208 S 58TH ST,42.9814055,-87.98656989999999
393-0362-110,929 N ASTOR ST,43.0435487,-87.8999157
392-2318-000,1115 N EDISON ST,43.044827,-87.91270999999999
392-2323-000,1125 N EDISON ST,43.044827,-87.91270999999999
