Taxkey,Address,lat,lng
266-0499-000,3744 N 52ND ST,43.0854039,-87.978076
266-0550-000,3520 N 55TH ST,43.08315899999999,-87.98183890000001
266-0611-000,3606 N 57TH ST,43.083748,-87.98408599999999
267-0963-000,3771 N 50TH ST,43.085941,-87.976193
268-1330-000,3815 N 37TH ST,43.086322,-87.959946
268-1504-000,3915 W ROOSEVELT DR,43.087218,-87.96246699999999
307-1205-000,2877 N SHERMAN BL,43.071397,-87.96788099999999
307-0328-000,2835 N 49TH ST,43.0705982,-87.97510020000001
307-0299-000,2831 N 48TH ST,43.0704935,-87.9739651
307-1126-000,2825 N 46TH ST,43.0703419,-87.97150099999999
229-0806-000,4635 N 42ND ST,43.101527,-87.96543799999999
286-0672-000,3124 N 33RD ST,43.0758305,-87.9548721
288-0174-000,3315 N 46TH ST,43.079518,-87.971294
267-0440-000,4512 W LEON TR,43.0870512,-87.97047669999999
229-0630-100,3831 W HAMPTON AV,43.1043868,-87.9613067
307-0062-000,2906 N 46TH ST,43.071832,-87.970798
229-9852-000,4519 N 41ST ST,43.099387,-87.964299
286-0294-000,3334 N 28TH ST,43.079941,-87.94811000000001
307-0669-000,3046 N 46TH ST,43.074473,-87.97075099999999
266-0533-000,3632 N 54TH BL,43.084277,-87.980476
227-0086-120,4623 N 53RD ST,43.101383,-87.979511
247-0594-000,4053 N ELMHURST RD,43.09085169999999,-87.96021669999999
