Taxkey,Address,lat,lng
148-0141-000,11935 W KAUL AV,43.1279052,-88.0613985
216-9991-000,4857 N 103RD ST,43.1061725,-88.0412528
148-0001-000,6005 N RIVER TRAIL DR,43.1266151,-88.06453599999999
148-0023-000,6201 N RIVER TRAIL DR,43.13095,-88.063985
148-0783-000,6105 N 116TH ST,43.1284289,-88.057045
114-0144-000,6825 N COVENTRY CT,43.141552,-88.05333499999999
302-0414-000,8504 W LOCUST ST,43.071677,-88.0191509
180-0291-000,11405 W FLORIST AV,43.126218,-88.054507
303-0903-000,7930 W HADLEY ST,43.06994,-88.0120656
303-0960-000,2815 N 81ST ST,43.0701279,-88.014043
148-0056-000,11924 W DOUGLAS AV,43.13118,-88.061038
148-0812-000,11621 W MILL RD,43.13309599999999,-88.057104
302-0402-000,2969 N 85TH ST,43.073026,-88.019156
110-0031-000,10600 W GOOD HOPE RD,43.149028,-88.04387
293-0411-000,3630 N 92ND ST,43.0839779,-88.0272529
292-0165-000,3340 N 82ND ST,43.079811,-88.014538
334-0006-000,9705 W CENTER ST,43.067352,-88.03383199999999
292-0412-000,3209 N 77TH ST,43.0771019,-88.0089314
223-0077-000,8817 W GRANTOSA DR,43.101209,-88.02277199999999
303-0517-000,3040 N 77TH ST,43.07439,-88.00832899999999
303-0930-000,2815 N 80TH ST,43.0701658,-88.01268619999999
303-1023-000,2808 N 84TH ST,43.069981,-88.017066
294-0550-000,3369 N 97TH PL,43.079935,-88.034724
302-0343-000,3021 N 85TH ST,43.073818,-88.019161
303-0555-000,3041 N 78TH ST,43.0743719,-88.01021399999999
253-0261-000,4037 N 90TH ST,43.0906372,-88.0255033
303-0851-000,2846 N 78TH ST,43.070863,-88.009563
303-0916-000,2872 N 80TH ST,43.0713805,-88.0122152
252-0609-000,4186 N 77TH ST,43.093907,-88.008595
303-1441-000,2969 N 83RD ST,43.07306,-88.0165169
293-0484-000,3312 N 92ND ST,43.0790817,-88.0272866
263-1034-100,3527 N 77TH ST,43.083283,-88.008955
294-0053-000,3309 N 96TH ST,43.079034,-88.032752
261-1104-000,3726 N 100TH ST,43.0847419,-88.0373639
303-0511-000,3008 N 77TH ST,43.0737359,-88.0083329
303-0445-000,2954 N 80TH ST,43.072814,-88.01204299999999
302-0153-000,2947 N 90TH ST,43.0724717,-88.0253303
293-0738-100,3360 N 90TH ST,43.0800978,-88.0248131
260-0207-000,3701 N 100TH ST,43.084254,-88.038139
261-1323-000,9522 W METCALF PL,43.085596,-88.03116500000002
292-0201-000,3317 N 81ST ST,43.079432,-88.013953
261-0807-000,3379 N 94TH ST,43.080388,-88.030237
224-0514-000,4640 N 80TH ST,43.1020868,-88.0115787
303-1033-000,2862 N 84TH ST,43.071089,-88.01705899999999
293-0485-100,3300 N 92ND ST,43.078892,-88.027208
302-0748-000,2751 N 89TH ST,43.0689629,-88.02411099999999
303-0335-000,2900 N 79TH ST,43.071775,-88.0107869
253-0994-000,4125 N 85TH ST,43.092321,-88.01923599999999
292-0547-000,3157 N 80TH ST,43.076567,-88.012631
303-0435-000,2976 N 79TH ST,43.073321,-88.01078199999999
293-0873-000,3345 N 88TH ST,43.079834,-88.022925
303-0599-000,3048 N 80TH ST,43.074574,-88.012016
261-1067-000,3809 N 98TH ST,43.0861957,-88.0357101
263-0526-000,3861 N 77TH ST,43.08759999999999,-88.0089069
261-0606-000,9774 W LISBON AV,43.0880827,-88.0346296
292-0471-000,3172 N 79TH ST,43.07693,-88.01074899999999
261-0865-000,3529 N 96TH ST,43.08303,-88.032493
293-0837-000,3407 N 88TH ST,43.080875,-88.02293399999999
303-0858-000,7801 W LOCUST ST,43.0715169,-88.0102023
262-0345-000,3745 N 84TH ST,43.08535,-88.017825
302-0397-000,3045 N 87TH ST,43.074332,-88.02166299999999
293-0130-000,3233 N 86TH ST,43.07782599999999,-88.02042999999999
302-0333-000,3044 N 86TH ST,43.074362,-88.019707
303-1178-000,2753 N 81ST ST,43.069126,-88.014051
303-0958-000,2825 N 81ST ST,43.070359,-88.01404099999999
303-0316-000,2927 N 77TH ST,43.072255,-88.009024
302-0073-000,3051 N 88TH ST,43.074423,-88.02287799999999
292-0526-000,3170 N 81ST ST,43.0768259,-88.013139
303-1381-000,3031 N 80TH ST,43.074102,-88.01274599999999
263-0558-000,3847 N 76TH ST,43.087283,-88.00771
294-0577-000,3423 N 98TH ST,43.0810266,-88.0358976
302-0047-000,3051 N 89TH ST,43.074404,-88.02415599999999
294-0032-000,3312 N 95TH ST,43.0790276,-88.0309561
302-0553-000,2853 N 86TH ST,43.070929,-88.020382
224-0460-000,4644 N 78TH ST,43.102082,-88.00914
263-0793-000,3521 N 81ST ST,43.08313099999999,-88.014113
303-0862-000,2857 N 78TH ST,43.071075,-88.010244
263-0749-000,3526 N 84TH ST,43.08317900000001,-88.017144
293-0666-000,9030 W AUER AV,43.0771019,-88.025779
261-0831-000,3430 N 96TH ST,43.0812219,-88.03181699999999
303-0528-000,3035 N 77TH ST,43.0742869,-88.0089386
293-0591-000,3518 N 91ST ST,43.082869,-88.02605
302-0434-000,2945 N 84TH ST,43.0725849,-88.017871
293-0425-000,3500 N 92ND ST,43.082516,-88.02726
261-1064-000,3808 N 99TH ST,43.08618,-88.036249
261-1411-000,3524 N 93RD ST,43.082974,-88.028487
302-0342-000,3015 N 85TH ST,43.07371,-88.01916
293-0180-000,3422 N 86TH ST,43.081281,-88.019781
293-0471-000,3372 N 92ND ST,43.0803233,-88.02728549999999
303-0995-000,2820 N 83RD ST,43.070224,-88.015851
303-0899-000,2821 N 79TH ST,43.070286,-88.011506
292-0477-000,3136 N 79TH ST,43.07621899999999,-88.01075399999999
292-0157-000,3225 N 82ND ST,43.077717,-88.01536999999999
302-0557-000,2833 N 86TH ST,43.070495,-88.02037899999999
261-1150-000,3616 N 100TH ST,43.0835671,-88.0373694
261-1150-000,3616 N 100TH ST,43.0835671,-88.0373694
261-1070-000,3827 N 98TH ST,43.0865729,-88.0357848
260-0222-000,3625 N 100TH ST,43.0836099,-88.0377555
216-2474-000,10415 W VILLARD AV,43.111858,-88.04257799999999
293-0515-000,3209 N 91ST ST,43.077198,-88.02667699999999
303-0814-000,2808 N 77TH ST,43.070106,-88.008371
292-0386-000,3206 N 79TH ST,43.0773677,-88.0107987
303-0207-000,8035 W LORRAINE PL,43.068615,-88.013537
303-0820-000,2840 N 77TH ST,43.070769,-88.00836699999999
263-0430-000,3922 N 78TH ST,43.088637,-88.00941999999999
263-0825-000,3629 N 80TH ST,43.084117,-88.012806
262-0616-000,3909 N 87TH ST,43.0881649,-88.021733
303-0844-000,2808 N 78TH ST,43.070089,-88.00956699999999
261-1370-000,3741 N 96TH ST,43.085048,-88.032505
261-1147-000,3636 N 100TH ST,43.083963,-88.03737199999999
302-0631-000,2857 N 89TH ST,43.071052,-88.02412799999999
303-0825-000,2866 N 77TH ST,43.0713237,-88.00840869999999
293-0628-000,3354 N 91ST ST,43.08000819999999,-88.0260485
293-0161-000,3149 N 86TH ST,43.076303,-88.02041299999999
293-0216-000,8531 W CONCORDIA AV,43.078729,-88.019744
303-0867-000,2831 N 78TH ST,43.070521,-88.01024699999999
216-9939-110,5114 N 107TH ST,43.110679,-88.04542099999999
261-0916-000,3416 N 97TH PL,43.080924,-88.03406
293-0556-000,9025 W LISBON AV,43.083744,-88.02543899999999
303-0830-000,2867 N 77TH ST,43.0713099,-88.009032
303-0840-000,2815 N 77TH ST,43.070208,-88.00904299999999
292-0488-000,3129 N 78TH ST,43.075997,-88.010204
214-0126-000,8622 W POTOMAC AV,43.106972,-88.019941
303-1401-000,2945 N 81ST ST,43.072563,-88.014023
293-0760-000,3361 N 89TH ST,43.0801535,-88.0241416
293-0557-000,9019 W LISBON AV,43.083696,-88.025308
292-1035-000,7800 W TOWNSEND ST,43.08068249999999,-88.009998
262-0630-000,3803 N 87TH ST,43.08625500000001,-88.02171899999999
252-0347-000,4043 N 83RD ST,43.0909509,-88.01661999999999
302-0529-000,2847 N 85TH ST,43.070858,-88.01914699999999
303-0846-000,2820 N 78TH ST,43.0703109,-88.00956599999999
293-0646-000,3345 N 90TH ST,43.079793,-88.025441
302-0114-000,2940 N 89TH ST,43.072439,-88.02340799999999
224-0571-000,7919 W BECKETT AV,43.1010881,-88.0119228
252-0350-000,4067 N 83RD ST,43.091429,-88.016609
292-1038-000,3416 N 79TH ST,43.080941,-88.010502
292-0009-000,3332 N 79TH ST,43.079693,-88.010482
293-0517-000,3219 N 91ST ST,43.07741900000001,-88.02668
302-0554-000,2847 N 86TH ST,43.070821,-88.020381
302-0556-000,2837 N 86TH ST,43.070605,-88.02038
302-0520-000,2846 N 85TH ST,43.07087,-88.018416
262-0406-000,3637 N 85TH ST,43.084165,-88.019212
293-0761-000,3367 N 89TH ST,43.080248,-88.024214
224-0430-000,4656 N 77TH ST,43.102325,-88.007931
224-1049-000,8008 W CONGRESS ST,43.09743400000001,-88.01261799999999
263-0451-000,3944 N 79TH ST,43.089061,-88.01061399999999
293-0418-100,3532 N 92ND ST,43.083174,-88.02726799999999
261-1367-000,3757 N 96TH ST,43.08541899999999,-88.03250400000002
293-0458-000,3419 N 91ST ST,43.0810419,-88.02672199999999
293-0113-000,3435 N 86TH ST,43.081504,-88.020427
303-0703-000,8215 W LORRAINE PL,43.068599,-88.01543799999999
292-0133-000,3344 N 83RD ST,43.07990299999999,-88.01592199999999
292-0162-000,8115 W LISBON AV,43.079755,-88.014062
302-0828-000,2731 N 86TH ST,43.068652,-88.020369
293-0016-000,3430 N 88TH ST,43.081367,-88.022246
261-0928-000,3463 N 97TH PL,43.081877,-88.03474299999999
302-0801-000,2727 N 87TH ST,43.068516,-88.021633
293-0430-000,3525 N 91ST ST,43.082971,-88.0266503
293-0061-000,3267 N 87TH ST,43.078479,-88.02169599999999
293-0582-000,8940 W METCALF PL,43.083044,-88.024773
293-0855-000,3350 N 89TH ST,43.0799355,-88.02355969999999
263-0265-000,3928 N 83RD ST,43.088669,-88.01595800000001
293-0044-000,3222 N 88TH ST,43.07759799999999,-88.02220799999999
303-0441-000,2949 N 79TH ST,43.072698,-88.01149099999999
293-0437-000,3617 N 91ST ST,43.083796,-88.026664
292-0406-000,3224 N 78TH ST,43.07745999999999,-88.00950300000001
302-0762-000,2744 N 90TH ST,43.068808,-88.02465099999999
262-0332-000,3728 N 85TH ST,43.0850071,-88.0185881
261-0494-000,9509 W MELVINA ST,43.088481,-88.03204
293-0050-000,3209 N 87TH ST,43.077274,-88.021692
293-0786-000,3239 N 89TH ST,43.077892,-88.02419499999999
261-1162-000,3515 N 99TH ST,43.0827025,-88.0368991
293-0932-000,3149 N 88TH ST,43.076293,-88.022896
292-0495-000,3165 N 78TH ST,43.0768144,-88.0101157
303-0526-000,3045 N 77TH ST,43.07449099999999,-88.008995
263-0849-000,8123 W KEEFE AV,43.082253,-88.01444500000001
261-1127-000,3744 N 99TH ST,43.0851323,-88.0362586
261-1173-000,3634 N 99TH ST,43.0839699,-88.0363206
302-0072-000,3057 N 88TH ST,43.074534,-88.02287899999999
261-0935-000,3417 N 97TH PL,43.080917,-88.034733
261-1205-000,3608 N 98TH ST,43.083395,-88.035119
293-0185-000,8518 W TOWNSEND ST,43.08101,-88.019477
