Taxkey,Address,lat,lng
419-0664-000,517 S 75TH ST,43.0268254,-88.006334
386-0617-000,4304 W MARTIN DR,43.04502,-87.968435
265-0294-000,3623 N 61ST ST,43.0841,-87.988694
289-0472-000,5515 W BROOKLYN PL,43.079451,-87.982051
305-0567-000,2708 N 68TH ST,43.068295,-87.997018
304-0347-000,2941 N 69TH ST,43.072195,-87.99896799999999
418-0486-000,315 S 82ND ST,43.028379,-88.015232
305-0712-000,2750 N 71ST ST,43.0691429,-88.000332
264-0352-000,3863 N 66TH ST,43.08769,-87.994998
409-9996-000,119 N 92ND ST,43.031571,-88.02779699999999
289-0617-000,5544 W BROOKLYN PL,43.079414,-87.98317399999999
418-0416-000,146 S 81ST ST,43.03028200000001,-88.013114
289-0090-000,3456 N 56TH ST,43.0820738,-87.98303349999999
305-0623-000,2829 N 67TH ST,43.07073399999999,-87.996526
408-0066-000,134 N 90TH ST,43.032036,-88.02378999999999
306-0788-000,2777 N 57TH ST,43.069695,-87.984539
289-0079-000,3425 N 56TH ST,43.081402,-87.983628
289-0017-000,3406 N 60TH ST,43.081114,-87.986734
408-1039-000,9034 W MT VERNON AV,43.034687,-88.025421
403-0607-000,317 N STORY PK,43.034063,-87.974606
264-0518-000,7113 W BECKETT AV,43.087767,-88.001233
386-0643-000,1127 N 44TH ST,43.0449738,-87.96939119999999
304-0111-000,2966 N 73RD ST,43.073163,-88.003213
304-0219-000,2967 N 75TH ST,43.073152,-88.006412
385-0108-000,5710 W VALLEY FORGE DR,43.04157499999999,-87.984286
346-0103-000,5816 W ELLIOTT CR,43.059422,-87.985765
419-0371-100,103 N 75TH ST,43.031457,-88.00634199999999
304-0216-000,2951 N 75TH ST,43.072823,-88.00641499999999
404-0015-000,5612 W MICHIGAN ST,43.037979,-87.98326399999999
289-0646-000,3346 N 58TH ST,43.080488,-87.985467
304-0376-000,2945 N 70TH ST,43.0722669,-88.000089
406-1237-000,177 N 70TH ST,43.0330213,-88.0000101
