Taxkey,Address,lat,lng
227-0908-000,4767 N 52ND ST,43.1041032,-87.9781671
288-0499-000,3132 N 48TH ST,43.07597699999999,-87.973439
266-0647-000,3625 N 58TH BL,43.084109,-87.98608
227-0035-111,4708 N 53RD ST,43.1028779,-87.9788001
247-0827-000,3730 W HOPE AV,43.093732,-87.960331
267-0398-000,4455 W HOWIE PL,43.088461,-87.969911
247-0564-000,4083 N MONTREAL ST,43.09141160000001,-87.9592435
266-0461-000,3715 N 52ND ST,43.08475199999999,-87.97875499999999
266-0107-000,3824 N 54TH BL,43.08681199999999,-87.9804319
266-0407-000,3712 N 55TH ST,43.084778,-87.981808
267-0994-000,3625 N 50TH ST,43.08402299999999,-87.976237
266-0176-000,3850 N 56TH ST,43.0874076,-87.9828867
266-0555-000,3608 N 55TH ST,43.0837507,-87.9818782
288-1054-000,3408 N 50TH ST,43.08140400000001,-87.975611
289-1023-000,3208 N 53RD ST,43.077337,-87.979332
227-0350-000,4466 N 54TH ST,43.09873,-87.98025299999999
267-0769-000,4740 W SCRANTON PL,43.0849746,-87.9733987
268-1294-000,3608 W ROOSEVELT DR,43.089528,-87.958778
268-1009-000,3628 N 37TH ST,43.083832,-87.959312
210-0232-100,4921 N 56TH ST,43.107069,-87.982924
247-0010-000,4315 N 42ND ST,43.095662,-87.965346
269-0407-000,3947 N 29TH ST,43.0885472,-87.949749
249-0467-000,5323 W LEON TR,43.093889,-87.980058
210-0152-000,4826 N 58TH ST,43.105396,-87.984715
228-0112-000,4655 N 46TH ST,43.102006,-87.97095
248-0016-000,4302 N 48TH ST,43.095427,-87.97307
267-0430-000,4557 W SPENCER PL,43.08795,-87.97088699999999
228-1225-000,4549 N 45TH ST,43.100066,-87.969735
268-1009-000,3628 N 37TH ST,43.083832,-87.959312
266-0086-000,3950 N 54TH ST,43.089134,-87.98039399999999
266-0106-000,3818 N 54TH BL,43.0867,-87.98043299999999
288-1131-000,3292 N 51ST BL,43.0790409,-87.976846
288-1093-000,3336 N 51ST BL,43.080036,-87.976832
267-0841-000,4828 W ROOSEVELT DR,43.0828891,-87.9743543
289-0802-000,5215 W TOWNSEND ST,43.081409,-87.978961
266-0389-000,3764 N 56TH ST,43.08587,-87.982925
288-0955-000,3151 N 49TH ST,43.07637099999999,-87.975184
268-1344-000,3862 N 38TH ST,43.087303,-87.96045099999999
268-0175-000,3939 N 41ST ST,43.088862,-87.964534
307-0211-000,2723 N 50TH ST,43.068555,-87.97654299999999
307-0903-100,2757 N SHERMAN BL,43.06917,-87.967915
307-1032-000,2756 N 48TH ST,43.06919,-87.97334099999999
288-0115-000,3160 N 46TH ST,43.07661530000001,-87.9707796
289-1048-000,3301 N 52ND ST,43.07935,-87.97878800000001
308-0784-000,2902 N 39TH ST,43.071691,-87.961804
308-0784-000,2902 N 39TH ST,43.071691,-87.961804
288-0602-000,3451 N 44TH ST,43.082246,-87.968875
289-1015-000,3235 N 52ND ST,43.077877,-87.97881699999999
270-0959-000,3812 N 26TH ST,43.08652,-87.945517
227-0701-000,4453 N 55TH ST,43.098394,-87.982198
287-1333-100,3179 N 39TH ST,43.07688599999999,-87.96238799999999
285-1451-000,3354 N 27TH ST,43.0803711,-87.9469038
307-0107-000,2969 N SHERMAN BL,43.073079,-87.96785899999999
227-0041-100,4649 N 52ND ST,43.101937,-87.978301
266-0377-000,5500 W NASH ST,43.0845655,-87.9824963
248-0218-000,4108 N 50TH ST,43.0919714,-87.9756051
310-1009-000,2945 N 23RD ST,43.0724589,-87.9413632
286-1046-000,3275 N 29TH ST,43.0786549,-87.94997719999999
309-0145-100,3053 N 28TH ST,43.074623,-87.94889099999999
307-0023-000,2939 N 46TH ST,43.072498,-87.971473
307-0636-000,3025 N 44TH ST,43.07399300000001,-87.969043
288-0080-000,3238 N 46TH ST,43.077919,-87.970647
289-0985-000,3147 N 52ND ST,43.076303,-87.978842
288-0425-000,3287 N 47TH ST,43.078865,-87.972927
288-1007-000,3260 N 50TH ST,43.078398,-87.975664
307-0621-000,3052 N 44TH ST,43.074558,-87.96834799999999
270-0204-000,3747 N 26TH ST,43.0857699,-87.94618899999999
287-1513-000,3422 N 40TH ST,43.081666,-87.96287889999999
308-0628-000,3013 N 38TH ST,43.0737359,-87.961253
247-9845-000,4232 N 41ST ST,43.09422,-87.96373
287-0326-000,3357 N 37TH ST,43.08036999999999,-87.959952
229-0721-000,4740 N 42ND ST,43.103463,-87.96472399999999
308-0103-000,3014 N 40TH ST,43.073723,-87.962949
286-1017-000,3372 N 29TH ST,43.080725,-87.949319
228-0448-000,4429 N 50TH ST,43.097852,-87.976011
266-0209-000,3816 N 57TH ST,43.08667,-87.984032
210-0261-000,4873 N 56TH ST,43.106349,-87.98293699999999
308-0153-000,2937 N 40TH ST,43.072376,-87.963635
266-0477-000,3776 N 53RD ST,43.0860259,-87.979255
267-0891-000,3725 N 49TH ST,43.084944,-87.97497299999999
286-0022-100,3261 N 34TH ST,43.0784071,-87.956289
288-0013-000,3408 N 46TH ST,43.0814049,-87.970585
288-1015-000,3375 N 49TH ST,43.080776,-87.97510700000001
268-0341-000,3738 N 42ND ST,43.085227,-87.96510599999999
266-0111-000,3846 N 54TH BL,43.0872529,-87.980429
247-0911-000,4102 N 40TH ST,43.0917989,-87.9627943
