Taxkey,Address,lat,lng
266-0629-000,3509 N 57TH ST,43.0829639,-87.984763
288-0413-000,3259 N 48TH ST,43.078358,-87.97408999999999
266-0747-000,3873 N 51ST BL,43.087762,-87.9775219
266-0559-000,3628 N 55TH ST,43.08417499999999,-87.98182000000001
248-0231-000,4175 N 50TH ST,43.0933199,-87.976158
289-1001-000,3166 N 53RD ST,43.076746,-87.97934099999999
266-0628-000,3515 N 57TH ST,43.083078,-87.98476099999999
248-0392-000,4034 N 47TH ST,43.090705,-87.97199599999999
227-0016-110,4685 N 51ST BL,43.1024542,-87.9770963
267-0914-000,4937 W MEDFORD AV,43.087169,-87.975076
266-0090-000,3867 N 53RD ST,43.0876919,-87.979895
266-0545-000,3509 N 54TH BL,43.08293,-87.981324
248-0185-100,4241 N 47TH ST,43.0943914,-87.9725986
249-0442-000,4239 N 52ND ST,43.0944358,-87.97859799999999
266-0343-000,3737 N 56TH ST,43.085284,-87.98358259999999
268-1294-000,3608 W ROOSEVELT DR,43.089528,-87.958778
268-1273-000,3864 N 37TH ST,43.087411,-87.959256
228-0096-000,4719 N 46TH ST,43.1030829,-87.9708009
266-0212-000,3834 N 57TH ST,43.087045,-87.98402500000002
247-0215-000,4056 N 42ND ST,43.091142,-87.96499399999999
248-0536-000,4134 N 46TH ST,43.092441,-87.970733
248-0331-000,4118 N 49TH ST,43.09215289999999,-87.97438749999999
248-0630-000,4102 N 45TH ST,43.091775,-87.969545
228-1117-000,4528 N 44TH ST,43.099582,-87.967787
210-0301-000,5150 N 56TH ST,43.1113285,-87.98225939999999
249-0043-100,4323 N 54TH ST,43.095895,-87.981001
227-0510-000,4514 N 60TH ST,43.0995819,-87.9864237
249-0046-000,4339 N 54TH ST,43.0962249,-87.9809949
247-0822-000,4239 N 38TH ST,43.094311,-87.960494
210-0052-100,4820 N 60TH ST,43.105278,-87.985947
227-0219-000,4753 N 57TH ST,43.103827,-87.98422099999999
228-0383-000,4729 N 50TH ST,43.1033497,-87.975793
247-0307-000,4124 N 36TH ST,43.092143,-87.95796399999999
248-0539-000,4116 N 46TH ST,43.092113,-87.97073999999999
288-0909-000,4824 W TOWNSEND ST,43.0813214,-87.97444449999999
267-0715-000,4505 W MEDFORD AV,43.083289,-87.97004199999999
288-0309-000,3408 N 47TH ST,43.0813977,-87.97226239999999
307-0618-000,3034 N 44TH ST,43.074217,-87.9683529
268-0163-000,3934 N 42ND ST,43.0887559,-87.965035
227-0507-000,4530 N 60TH ST,43.099897,-87.98633099999999
229-0785-100,4655 N 42ND ST,43.101963,-87.9653345
247-9889-000,4359 N 41ST ST,43.09656700000001,-87.96428399999999
247-0527-000,4176 N 39TH ST,43.09331600000001,-87.961744
310-1389-000,2908 N 24TH ST,43.071748,-87.942033
307-0334-000,2801 N 49TH ST,43.069913,-87.975263
307-1020-000,2707 N 47TH ST,43.0682,-87.972787
310-0513-000,3029 N 24TH ST,43.07405,-87.94258339999999
268-1412-000,3809 W CAPITOL DR,43.089509,-87.96110600000002
288-0401-000,3324 N 47TH ST,43.079774,-87.972223
266-0707-000,3931 N 52ND ST,43.088735,-87.97868
268-1114-000,3604 N 39TH ST,43.08334199999999,-87.961829
267-0341-000,4400 W MELVINA ST,43.089111,-87.96862
285-0925-000,2404 W BURLEIGH ST,43.075386,-87.94260799999999
307-0280-000,2850 N 48TH ST,43.070919,-87.973309
229-1143-000,4765 N 35TH ST,43.1040009,-87.95709699999999
267-0986-000,3748 N 51ST BL,43.085505,-87.976726
249-0711-000,5617 W CONGRESS ST,43.096974,-87.98368300000001
267-0464-000,4765 W LEON TR,43.0889667,-87.9737087
266-0154-000,3879-A N 55TH ST,43.088049,-87.982261
268-1332-000,3702 W VIENNA AV,43.086128,-87.95995289999999
288-0509-000,3171 N 48TH ST,43.076788,-87.97411799999999
228-1462-000,4455 N 46TH ST,43.098408,-87.9709991
228-1301-000,4661 N 45TH ST,43.102108,-87.969701
266-0259-000,3815A N 58TH BL,43.08665,-87.986029
286-0450-000,3122 N 35TH ST,43.0757634,-87.9571103
229-1138-000,4745 N 35TH ST,43.1035925,-87.9570425
286-0736-000,3232 N 30TH ST,43.0777971,-87.9506579
285-0625-000,3257 N 26TH ST,43.078269,-87.94632999999999
229-0807-000,4629 N 42ND ST,43.101416,-87.96544000000002
285-0720-000,3228A N 24TH PL,43.077656,-87.94318799999999
286-0735-100,3236 N 30TH ST,43.077872,-87.950587
228-0388-000,4719-A N 50TH ST,43.103036,-87.975911
307-1162-000,2814 N 46TH ST,43.07012479999999,-87.97084389999999
307-0234-000,2755 N 49TH ST,43.0692048,-87.97527819999999
307-0614-000,3012 N 44TH ST,43.0737835,-87.9683893
267-0245-000,3882 N 51ST BL,43.087974,-87.976683
307-1034-000,2768 N 48TH ST,43.06941,-87.973337
287-0505-000,3157 N 41ST ST,43.0764349,-87.964736
288-0518-000,3121 N 48TH ST,43.0757805,-87.97408759999999
287-1020-000,3438 N 41ST ST,43.081991,-87.96399199999999
308-0771-000,2967 N 38TH ST,43.073013,-87.961265
288-0805-000,3374 N 44TH ST,43.080745,-87.96825299999999
308-0129-000,3011 N 40TH ST,43.07367170000001,-87.96351399999999
286-0204-100,2717 W AUER AV,43.076792,-87.947912
287-0756-000,3125 N 38TH ST,43.0757863,-87.9611382
269-0327-000,3744 N 28TH ST,43.085755,-87.947997
269-0417-000,3960 N 29TH ST,43.088822,-87.94914899999999
267-0126-000,4525 W RIDGE CT,43.0867002,-87.9699682
267-0135-000,4405 W SPENCER PL,43.086405,-87.968886
227-0591-000,4502 N 56TH ST,43.09932,-87.98266
247-0572-000,4033 N MONTREAL ST,43.090673,-87.95867299999999
228-0805-000,4646 N 51ST BL,43.101804,-87.976383
228-0286-000,4717 N 49TH ST,43.103046,-87.974745
249-0110-000,5382 W LEON TR,43.095113,-87.98069199999999
210-0280-000,5037 N 56TH ST,43.109285,-87.982889
228-0219-100,4619 N 48TH ST,43.101283,-87.973618
229-9797-000,4418 N 40TH ST,43.097627,-87.9624879
247-9853-000,4019 W MARION ST,43.0951152,-87.96357979999999
247-9808-000,4224 W MARION ST,43.0953937,-87.9657995
247-9980-000,4302 N 36TH ST,43.09544,-87.957799
247-9843-000,4218 N 41ST ST,43.0939326,-87.96380339999999
269-0278-000,2714 W MELVINA ST,43.08766490000001,-87.9475918
286-1119-000,3117 N 29TH ST,43.07572700000001,-87.95009499999999
307-0357-000,2841 N 50TH ST,43.0706909,-87.9765
269-0341-000,3709 N 27TH ST,43.0849837,-87.9473536
285-0602-000,3289 N 25TH ST,43.0789074,-87.9449255
210-0102-000,5147 N 58TH ST,43.1112183,-87.9852428
310-0140-000,3038 N 22ND ST,43.07416449999999,-87.9396234
285-0759-000,2508 W AUER AV,43.077209,-87.945156
228-0366-000,4402 N 50TH ST,43.0973784,-87.9754316
227-0007-100,4735 N 51ST BL,43.10335,-87.97712899999999
267-0723-000,4528 W KEEFE AV,43.08278800000001,-87.97071799999999
247-0811-000,4240 N SERCOMBE RD,43.094159,-87.961405
307-1232-000,2775 N SHERMAN BL,43.06957500000001,-87.96790899999999
307-0110-000,2949 N SHERMAN BL,43.072669,-87.96786600000001
288-0448-000,3252 N 48TH ST,43.078202,-87.973404
