"key","val"
"BUILDING_CLASS_AT_TIME_OF_SALE: M2","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: M3","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: M4","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: M9","-0.2807377678221881"
"BUILDING_CLASS_AT_TIME_OF_SALE: N2","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: N9","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: O1","0.2962641614315317"
"BUILDING_CLASS_AT_TIME_OF_SALE: O2","-0.1118513122964957"
"BUILDING_CLASS_AT_TIME_OF_SALE: O3","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: O4","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: O5","-0.31077028583723815"
"BUILDING_CLASS_AT_TIME_OF_SALE: O6","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: O7","0.10423114791895045"
"BUILDING_CLASS_AT_TIME_OF_SALE: O8","-0.2703506363484848"
"BUILDING_CLASS_AT_TIME_OF_SALE: O9","-0.001566821283471917"
"BUILDING_CLASS_AT_TIME_OF_SALE: P2","-0.9357666394577351"
"BUILDING_CLASS_AT_TIME_OF_SALE: P3","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: P5","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: P6","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: P7","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: P9","-0.6456331972220822"
"BUILDING_CLASS_AT_TIME_OF_SALE: Q1","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: Q8","0.4358365064593981"
"BUILDING_CLASS_AT_TIME_OF_SALE: R9","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: RR","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: S0","-0.18468879418735362"
"BUILDING_CLASS_AT_TIME_OF_SALE: S1","0.038779150483987605"
"BUILDING_CLASS_AT_TIME_OF_SALE: S2","-0.19586128268893901"
"BUILDING_CLASS_AT_TIME_OF_SALE: S3","-0.11769880680120243"
"BUILDING_CLASS_AT_TIME_OF_SALE: S4","0.007906304420291813"
"BUILDING_CLASS_AT_TIME_OF_SALE: S5","0.15279079201591803"
"BUILDING_CLASS_AT_TIME_OF_SALE: S9","-0.005840441171340827"
"BUILDING_CLASS_AT_TIME_OF_SALE: V0","-0.3563801939129195"
"BUILDING_CLASS_AT_TIME_OF_SALE: V1","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: W1","-0.004601008804589019"
"BUILDING_CLASS_AT_TIME_OF_SALE: W2","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: W3","0.04529657386731713"
"BUILDING_CLASS_AT_TIME_OF_SALE: W6","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: W7","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: W8","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: W9","-0.20064828023617898"
"BUILDING_CLASS_AT_TIME_OF_SALE: Z0","0.0"
"BUILDING_CLASS_AT_TIME_OF_SALE: Z9","0.7443703695074703"
"TAX_CLASS_AT_TIME_OF_SALE: 1.0","0.046572048339123984"
"TAX_CLASS_AT_TIME_OF_SALE: 2.0","-0.1290629908661819"
"TAX_CLASS_AT_TIME_OF_SALE: 4.0","0.24877693933403477"
