"x","mean","std","leftright"
1.0,6001.358030262671,208.62103149202352,"left"
1.059059059059059,5991.289716222913,207.11632343900936,"left"
1.1181181181181181,5981.215898106448,205.6224413167614,"left"
1.177177177177177,5971.136690475005,204.1394195170263,"left"
1.2362362362362362,5961.052207932522,202.66729256070457,"left"
1.2952952952952952,5950.962565122796,201.20609508830324,"left"
1.3543543543543544,5940.867876726979,199.75586184916358,"left"
1.4134134134134133,5930.768257461821,198.31662769094314,"left"
1.4724724724724725,5920.663822077147,196.88842754760287,"left"
1.5315315315315314,5910.5546853530905,195.4712964269315,"left"
1.5905905905905906,5900.440962099012,194.06526939715565,"left"
1.6496496496496496,5890.322767150188,192.67038157326147,"left"
1.7087087087087087,5880.200215365736,191.28666810164162,"left"
1.7677677677677677,5870.073421626825,189.91416414465206,"left"
1.8268268268268268,5859.942500833993,188.5529048641643,"left"
1.8858858858858858,5849.807567904967,187.20292540359918,"left"
1.944944944944945,5839.668737772257,185.86426087030077,"left"
2.004004004004004,5829.526125381317,184.53694631543434,"left"
2.063063063063063,5819.379845687914,183.22101671424454,"left"
2.1221221221221223,5809.23001365589,181.91650694470732,"left"
2.181181181181181,5799.076744255335,180.6234517651554,"left"
2.24024024024024,5788.920152459341,179.34188579121408,"left"
2.299299299299299,5778.760353243071,178.0718434713633,"left"
2.3583583583583585,5768.597461580252,176.81335906151767,"left"
2.4174174174174174,5758.431592441879,175.56646659884836,"left"
2.4764764764764764,5748.262860793318,174.3311998739595,"left"
2.5355355355355353,5738.091381592456,173.1075924024738,"left"
2.5945945945945947,5727.9172697871545,171.89567739519927,"left"
2.6536536536536537,5717.74064031311,170.69548772731923,"left"
2.7127127127127126,5707.561608091837,169.50705590618574,"left"
2.7717717717717716,5697.380288027844,168.3304140383425,"left"
2.830830830830831,5687.196795006987,167.16559379498207,"left"
2.88988988988989,5677.011243894014,166.01262637691272,"left"
2.948948948948949,5666.82374953006,164.87154247719647,"left"
3.008008008008008,5656.634426730921,163.74237224407563,"left"
3.067067067067067,5646.443390284177,162.6251452414445,"left"
3.126126126126126,5636.250754947709,161.51989040918,"left"
3.185185185185185,5626.056635446574,160.42663602163077,"left"
3.244244244244244,5615.861146471676,159.3454096452026,"left"
3.3033033033033035,5605.664402676706,158.27623809514392,"left"
3.3623623623623624,5595.466518676632,157.21914739103954,"left"
3.4214214214214214,5585.2676090449495,156.17416271074597,"left"
3.4804804804804803,5575.067788311748,155.14130834429236,"left"
3.5395395395395397,5564.867170961232,154.12060764588017,"left"
3.5985985985985987,5554.665871429743,153.11208298549656,"left"
3.6576576576576576,5544.46400410356,152.1157556992601,"left"
3.7167167167167166,5534.261683316272,151.13164603941578,"left"
3.775775775775776,5524.059023347239,150.15977312244033,"left"
3.834834834834835,5513.856138418501,149.20015487781086,"left"
3.893893893893894,5503.653142693438,148.25280799481672,"left"
3.952952952952953,5493.450150274053,147.31774786967858,"left"
4.012012012012012,5483.247275199092,146.39498855134408,"left"
4.071071071071071,5473.0446314410565,145.48454268709534,"left"
4.13013013013013,5462.842332905406,144.58642146825477,"left"
4.1891891891891895,5452.640493426798,143.70063457453375,"left"
4.248248248248248,5442.439226768145,142.82719011888773,"left"
4.307307307307307,5432.238646617683,141.96609459217768,"left"
4.366366366366367,5422.0388665872,141.11735280726595,"left"
4.425425425425425,5411.840000209359,140.28096784413444,"left"
4.484484484484485,5401.642160936153,139.45694099398347,"left"
4.543543543543543,5391.445462136171,138.64527170464348,"left"
4.602602602602603,5381.250017092805,137.84595752553383,"left"
4.661661661661662,5371.055939001924,137.05899405420973,"left"
4.7207207207207205,5360.863340969501,136.28437488222522,"left"
4.77977977977978,5350.672336009977,135.52209154286567,"left"
4.838838838838839,5340.483037043492,134.77213345932012,"left"
4.897897897897898,5330.295556894049,134.03448789385203,"left"
4.956956956956957,5320.110008287569,133.30913989817748,"left"
5.016016016016016,5309.9265038493195,132.59607226542713,"left"
5.075075075075075,5299.745156101779,131.8952654831259,"left"
5.134134134134134,5289.566077462945,131.20669768812832,"left"
5.193193193193193,5279.389380243783,130.53034462305416,"left"
5.252252252252252,5269.215176646185,129.86617959428196,"left"
5.311311311311312,5259.043578760979,129.2141734330964,"left"
5.37037037037037,5248.874698565673,128.57429445735465,"left"
5.42942942942943,5238.708647922107,127.94650843679008,"left"
5.488488488488488,5228.545538574965,127.33077855968791,"left"
5.5475475475475475,5218.385482148966,126.72706540331711,"left"
5.606606606606607,5208.228590147361,126.13532690538771,"left"
5.665665665665665,5198.074973949273,125.55551833962394,"left"
5.724724724724725,5187.924744807884,124.98759229378472,"left"
5.783783783783784,5177.778013848552,124.4314986502908,"left"
5.842842842842843,5167.634892066128,123.88718457066751,"left"
5.901901901901902,5157.49549032353,123.35459448260475,"left"
5.960960960960961,5147.35991934921,122.8336700704455,"left"
6.02002002002002,5137.228289735009,122.32435026913973,"left"
6.079079079079079,5127.100711934683,121.82657126145268,"left"
6.138138138138138,5116.977296261213,121.34026647895901,"left"
6.197197197197197,5106.858152885128,120.86536660587154,"left"
6.256256256256257,5096.743391831997,120.40179958738943,"left"
6.315315315315315,5086.633122980997,119.94949064125494,"left"
6.374374374374375,5076.527456062209,119.50836227231714,"left"
6.433433433433433,5066.426500655163,119.07833429173027,"left"
6.4924924924924925,5056.330366186547,118.65932383931921,"left"
6.551551551551552,5046.239161927941,118.2512454095282,"left"
6.61061061061061,5036.152996994144,117.85401088089583,"left"
6.66966966966967,5026.071980341041,117.46752954971771,"left"
6.728728728728728,5015.996220763516,117.09170816599527,"left"
