"x","mean","std","leftright"
1.0,187.82132242204398,6.4749092403450765,"left"
1.059059059059059,187.72489333377735,6.433678184726648,"left"
1.1181181181181181,187.6280488422791,6.3927106487848695,"left"
1.177177177177177,187.5307893522729,6.352007748425092,"left"
1.2362362362362362,187.4331152742767,6.311570601186595,"left"
1.2952952952952952,187.3350270246027,6.271400325972271,"left"
1.3543543543543544,187.23652502536208,6.231498042766262,"left"
1.4134134134134133,187.13760970446276,6.19186487233218,"left"
1.4724724724724725,187.03828149561218,6.152501935900852,"left"
1.5315315315315314,186.9385408383198,6.1134103548409735,"left"
1.5905905905905906,186.83838817789535,6.0745912503128165,"left"
1.6496496496496496,186.73782396545187,6.036045742908291,"left"
1.7087087087087087,186.6368486579064,5.997774952269061,"left"
1.7677677677677677,186.53546271797904,5.959779996697188,"left"
1.8268268268268268,186.4336666141943,5.922061992736545,"left"
1.8858858858858858,186.33146082088388,5.884622054746257,"left"
1.944944944944945,186.22884581818323,5.847461294449699,"left"
2.004004004004004,186.12582209203424,5.810580820468876,"left"
2.063063063063063,186.0223901341859,5.773981737836855,"left"
2.1221221221221223,185.91855044219142,5.737665147493804,"left"
2.181181181181181,185.81430351941265,5.70163214576037,"left"
2.24024024024024,185.70964987501543,5.665883823795022,"left"
2.299299299299299,185.6045900239725,5.630421267026762,"left"
2.3583583583583585,185.49912448706039,5.595245554571097,"left"
2.4174174174174174,185.3932537908629,5.5603577586238915,"left"
2.4764764764764764,185.28697846776652,5.525758943832623,"left"
2.5355355355355353,185.18029905596245,5.491450166651829,"left"
2.5945945945945947,185.07321609944393,5.457432474669373,"left"
2.6536536536536537,184.96573014800686,5.423706905918824,"left"
2.7127127127127126,184.85784175724734,5.39027448816532,"left"
2.7717717717717716,184.74955148856282,5.357136238171614,"left"
2.830830830830831,184.64085990914748,5.324293160944053,"left"
2.88988988988989,184.53176759199596,5.29174624895249,"left"
2.948948948948949,184.42227511589556,5.259496481333801,"left"
3.008008008008008,184.31238306542934,5.227544823069432,"left"
3.067067067067067,184.20209203097363,5.195892224144334,"left"
3.126126126126126,184.09140260869447,5.164539618684505,"left"
3.185185185185185,183.9803154005499,5.133487924070892,"left"
3.244244244244244,183.86883101428077,5.102738040035249,"left"
3.3033033033033035,183.75695006341664,5.072290847736248,"left"
3.3623623623623624,183.6446731672678,5.042147208812135,"left"
3.4214214214214214,183.53200095092643,5.012307964416111,"left"
3.4804804804804803,183.41893404526263,4.982773934233894,"left"
3.5395395395395397,183.3054730869211,4.953545915480302,"left"
3.5985985985985987,183.19161871832137,4.924624681877644,"left"
3.6576576576576576,183.0773715876511,4.896010982621234,"left"
3.7167167167167166,182.962732348867,4.867705541325358,"left"
3.775775775775776,182.84770166168983,4.839709054952271,"left"
3.834834834834835,182.73228019160138,4.812022192730311,"left"
3.893893893893894,182.6164686098416,4.784645595056939,"left"
3.952952952952953,182.50026759340585,4.757579872388994,"left"
4.012012012012012,182.38367782503997,4.730825604122131,"left"
4.071071071071071,182.2666999932394,4.704383337460062,"left"
4.13013013013013,182.1493347922417,4.678253586275825,"left"
4.1891891891891895,182.03158292202681,4.652436829963324,"left"
4.248248248248248,181.91344508831116,4.626933512287834,"left"
4.307307307307307,181.79492200254333,4.601744040225372,"left"
4.366366366366367,181.67601438190115,4.576868782805684,"left"
4.425425425425425,181.55672294928604,4.552308069951593,"left"
4.484484484484485,181.43704843332125,4.528062191318272,"left"
4.543543543543543,181.3169915683444,4.504131395134755,"left"
4.602602602602603,181.19655309440543,4.480515887055451,"left"
4.661661661661662,181.07573375726008,4.457215829007908,"left"
4.7207207207207205,180.9545343083662,4.434231338059618,"left"
4.77977977977978,180.83295550487958,4.4115624852889,"left"
4.838838838838839,180.71099810964733,4.389209294669731,"left"
4.897897897897898,180.5886628912034,4.367171741973303,"left"
4.956956956956957,180.46595062376457,4.345449753684695,"left"
5.016016016016016,180.34286208722324,4.324043205938683,"left"
5.075075075075075,180.21939806714363,4.302951923480217,"left"
5.134134134134134,180.0955593547552,4.282175678644612,"left"
5.193193193193193,179.97134674694667,4.261714190369001,"left"
5.252252252252252,179.8467610462627,4.241567123227425,"left"
5.311311311311312,179.72180306089547,4.221734086500039,"left"
5.37037037037037,179.59647360467932,4.202214633277295,"left"
5.42942942942943,179.4707734970848,4.183008259594869,"left"
5.488488488488488,179.34470356321378,4.16411440361255,"left"
5.5475475475475475,179.21826463379034,4.145532444829065,"left"
5.606606606606607,179.0914575451567,4.127261703343026,"left"
5.665665665665665,178.96428313926663,4.109301439158149,"left"
5.724724724724725,178.83674226367657,4.091650851531572,"left"
5.783783783783784,178.70883577154143,4.07430907838136,"left"
5.842842842842843,178.58056452160793,4.05727519573291,"left"
5.901901901901902,178.45192937820366,4.040548217230303,"left"
5.960960960960961,178.32293121123485,4.024127093694624,"left"
6.02002002002002,178.19357089617574,4.0080107127463425,"left"
6.079079079079079,178.06384931406365,3.992197898480258,"left"
6.138138138138138,177.9337673514898,3.9766874112048076,"left"
6.197197197197197,177.8033259005931,3.9614779472446937,"left"
6.256256256256257,177.67252585905044,3.9465681388009792,"left"
6.315315315315315,177.54136813007233,3.9319565538823085,"left"
6.374374374374375,177.40985362239064,3.9176416963013287,"left"
6.433433433433433,177.27798325025492,3.903622005730239,"left"
6.4924924924924925,177.14575793342135,3.889895857832792,"left"
6.551551551551552,177.01317859714618,3.876461564460824,"left"
6.61061061061061,176.8802461721756,3.8633173739192244,"left"
6.66966966966967,176.74696159474013,3.850461471299421,"left"
6.728728728728728,176.61332580654187,3.837891978881754,"left"
