Address,lat,lng
8790 19TH AVENUE                         ,40.602283,-74.004644
169 BAY 26TH STREET                      ,40.60009,-74.000173
167 BAY 26TH STREET                      ,40.6002361,-74.00017319999999
206 BAY 29TH STREET                      ,40.5983169,-73.99915969999999
211 BAY 29TH STREET                      ,40.598018,-73.998796
8866 15TH   AVENUE                       ,40.6061601,-74.0153732
331 BAY 10TH STREET                      ,40.604244,-74.015396
307 BAY 10TH STREET                      ,40.6047233,-74.0149514
310 BAY 11TH STREET                      ,40.60446,-74.014719
321 BAY 11TH   STREET                    ,40.603996,-74.014416
337 BAY 10TH   STREET                    ,40.604106,-74.01554
332 BAY 10TH STREET                      ,40.6044901,-74.01588029999999
8872 17TH AVENUE                         ,40.6032719,-74.0108489
255 BAY 14 STREET                        ,40.7397346,-74.0018431
8871 16TH AVENUE                         ,40.604416,-74.012676
288 BAY 13TH   STREET                    ,40.603926,-74.012621
8859 17TH   AVENUE                       ,40.603175,-74.010085
8850 BAY 16TH STREET                     ,40.60322,-74.009593
8858 BAY 16TH   STREET                   ,40.6030591,-74.0097495
8856 18TH   AVENUE                       ,40.602223,-74.008248
8874 18TH   AVENUE                       ,40.601917,-74.00855899999999
8883 18TH   AVENUE                       ,40.601481,-74.00829499999999
8867 18TH   AVENUE                       ,40.6017409,-74.008027
8839 18TH AVENUE                         ,40.6022729,-74.00748399999999
270 BAY 20 STREET                        ,40.601155,-74.007001
8888 19TH AVENUE                         ,40.6004298,-74.0065915
260 BAY 22ND   STREET                    ,40.600421,-74.005341
1936 20TH DRIVE                          ,40.599789,-74.005313
1936 20TH   DRIVE                        ,40.599789,-74.005313
1948 20TH   DRIVE                        ,40.5996485,-74.0051091
1951 19TH LANE                           ,40.5993488,-74.005044
1929 19TH   LANE                         ,40.59967,-74.005668
8869 19TH AVENUE                         ,40.600418,-74.005794
8892 20TH   AVENUE                       ,40.5989379,-74.00448999999999
1920 19TH LANE                           ,40.5994723,-74.0062499
8660 17TH   AVENUE                       ,40.607544,-74.00635299999999
1857 BENSON AVENUE                       ,40.604267,-74.00293099999999
65 BAY 20TH STREET                       ,40.6050039,-74.0023341
11 BAY 20TH   STREET                     ,40.605943,-74.0012689
8665 19TH   AVENUE                       ,40.604487,-74.0015279
34 BAY 22ND   STREET                     ,40.604894,-74.000669
84 BAY 22ND STREET                       ,40.604016,-74.00157999999999
38 BAY 22ND STREET                       ,40.6048274,-74.0007358
32 BAY 23RD STREET                       ,40.604443,-73.999971
8634 20TH   AVENUE                       ,40.604237,-73.999025
8660 20TH   AVENUE                       ,40.603589,-73.99969
8662 20TH AVENUE                         ,40.603532,-73.999749
15 BAY 25TH STREET                       ,40.603614,-73.997677
98 BAY 8TH   STREET                      ,40.609966,-74.012552
106 BAY 8TH STREET                       ,40.6098679,-74.0126753
156 BAY 8TH   STREET                     ,40.608927,-74.013661
8710 15TH AVENUE                         ,40.6093339,-74.012055
8739 15TH AVENUE                         ,40.608452,-74.01215499999999
8701 16TH AVENUE                         ,40.6078509,-74.009209
128 BAY 13TH STREET                      ,40.607174,-74.00940299999999
129 BAY 13TH STREET                      ,40.60696,-74.0089618
8693 17 AVE                              ,40.6064832,-74.0067454
8716 19TH AVENUE                         ,40.60378499999999,-74.002999
8728 19TH AVENUE                         ,40.6035224,-74.00329339999999
113 BAY 25TH   STREET                    ,40.601732,-73.999659
8736 21ST   AVENUE                       ,40.60063,-73.99918699999999
8709 21ST   AVENUE                       ,40.6008629,-73.9981509
110 BAY 28TH   STREET                    ,40.600739,-73.997826
122 BAY 28TH   STREET                    ,40.6003269,-73.9979364
127 BAY 29TH STREET                      ,40.599789,-73.9972846
125 BAY 29TH STREET                      ,40.59969,-73.997056
180 BAY 8TH   STREET                     ,40.60835,-74.0142429
1502 BATH AVENUE                         ,40.607759,-74.013064
