"distance","Y","Y_residuals"
8990.268229658846,5.807474933213331,"5.46181241665287"
9000.462622457448,5.692418716005887,"5.306997277350792"
8981.091735672015,6.844953027433553,"6.459531588778457"
8478.190949756836,5.026383651064394,"4.640962212409299"
9586.550504455552,5.377649215830168,"5.126841469243449"
9567.60613643241,5.293652937256681,"5.042845190669962"
8366.19000202173,5.403677882205862,"5.1528701356191435"
7685.194197717486,5.103725717162268,"4.758063200601807"
8079.089979759623,5.857569584219502,"5.346343667575157"
8162.612994010347,4.862215288977982,"4.516552772417521"
6952.949362117239,5.375565241269815,"5.017877628479871"
7020.888599303824,5.4684655330298355,"5.110777920239892"
5923.329149445005,5.8640781223107465,"5.506390509520804"
5923.329149445005,4.5044520082730175,"4.146764395483075"
4836.240192380334,5.611436514680594,"5.265773998120133"
4412.698362047381,4.80362112471193,"4.445933511921988"
4175.5160166982605,5.701254028302842,"5.3435664155129"
3929.5837410453155,5.5310303688783975,"5.145608930223302"
6944.950452648609,4.975072230062442,"4.629409713501981"
4792.67331332785,5.561696230054145,"5.216033713493684"
4640.2255145236795,4.798460774152621,"4.45279825759216"
5303.375149494487,5.794841205603168,"5.449178689042707"
6427.377512794378,5.7400278021490445,"5.3943652855885835"
6427.377512794378,4.877321316408996,"4.531658799848535"
5562.852510149296,5.130849166459069,"4.785186649898608"
4902.987183030823,5.7382350208909765,"5.3925725043305155"
4355.336076401012,6.165337049415409,"5.819674532854948"
1952.4077147126127,6.296252087462702,"5.938564474672759"
1750.2933371818694,6.133639035888524,"5.787976519328063"
883.4708129843884,5.959261406613346,"5.573839967958252"
3388.185782821264,5.713559847494496,"5.328138408839401"
3388.185782821264,5.105349822140688,"4.719928383485593"
3179.9962231505096,5.776938031635923,"5.391516592980828"
3027.631183284594,5.823626456132606,"5.438205017477511"
2661.2787122171494,5.149148017070983,"4.79146040428104"
2638.043745882596,6.013487459195419,"5.6557998464054755"
1167.4217052017912,3.5021233002521157,"3.116701861597021"
