ADDRESS,ZIP CODE,lat,lng
243 BAY 11TH STREET                      ,11228,40.60559800000001,-74.012824
8820 16TH AVENUE                         ,11214,40.605785,-74.0121939
8830 16TH AVENUE                         ,11214,40.605633,-74.012351
8836 16TH   AVENUE                       ,11214,40.605543,-74.01244600000001
8817 16TH AVENUE                         ,11214,40.60557499999999,-74.011596
202 BAY 13TH   STREET                    ,11214,40.605623,-74.011051
1669 CROPSEY AVENUE                      ,11214,40.6041979,-74.009893
8844 17TH AVENUE                         ,11214,40.604367,-74.009711
8799 17TH   AVENUE                       ,11214,40.604523,-74.008709
1749 CROPSEY AVENUE                      ,11214,40.603314,-74.008242
8819 BAY 16TH   STREET                   ,11214,40.603647,-74.008438
8790 19TH AVENUE                         ,11214,40.602283,-74.004644
169 BAY 26TH STREET                      ,11214,40.60009,-74.000173
167 BAY 26TH STREET                      ,11214,40.60013,-74.000128
206 BAY 29TH STREET                      ,11214,40.59831,-73.999195
211 BAY 29TH STREET                      ,11214,40.598018,-73.998796
8866 15TH   AVENUE                       ,11228,40.6061819,-74.015326
331 BAY 10TH STREET                      ,11228,40.604244,-74.015396
307 BAY 10TH STREET                      ,11228,40.6046679,-74.014955
310 BAY 11TH STREET                      ,11228,40.60446,-74.014719
321 BAY 11TH   STREET                    ,11228,40.603996,-74.014416
337 BAY 10TH   STREET                    ,11228,40.604106,-74.01554
332 BAY 10TH STREET                      ,11228,40.604496,-74.01586999999999
8872 17TH AVENUE                         ,11214,40.6032719,-74.0108489
255 BAY 14 STREET                        ,11214,40.603783,-74.01088800000001
8871 16TH AVENUE                         ,11214,40.604416,-74.012676
288 BAY 13TH   STREET                    ,11214,40.603926,-74.012621
8859 17TH   AVENUE                       ,11214,40.603175,-74.010085
8850 BAY 16TH STREET                     ,11214,40.60322,-74.009593
8858 BAY 16TH   STREET                   ,11214,40.60309,-74.009733
8856 18TH   AVENUE                       ,11214,40.602223,-74.008248
8874 18TH   AVENUE                       ,11214,40.601917,-74.00855899999999
8883 18TH   AVENUE                       ,11214,40.601481,-74.00829499999999
8867 18TH   AVENUE                       ,11214,40.6017409,-74.008027
8839 18TH AVENUE                         ,11214,40.6022729,-74.00748399999999
270 BAY 20 STREET                        ,11214,40.601155,-74.007001
8888 19TH AVENUE                         ,11214,40.600399,-74.006585
260 BAY 22ND   STREET                    ,11214,40.600421,-74.005341
1936 20TH DRIVE                          ,11214,40.599789,-74.005313
1936 20TH   DRIVE                        ,11214,40.599789,-74.005313
1948 20TH   DRIVE                        ,11214,40.599643,-74.00506
1951 19TH LANE                           ,11214,40.5993488,-74.005044
1929 19TH   LANE                         ,11214,40.59967,-74.005668
8869 19TH AVENUE                         ,11214,40.600418,-74.005794
8892 20TH   AVENUE                       ,11214,40.5989379,-74.00448999999999
1920 19TH LANE                           ,11214,40.599466,-74.0062109
8660 17TH   AVENUE                       ,11214,40.607544,-74.00635299999999
1857 BENSON AVENUE                       ,11214,40.604267,-74.00293099999999
65 BAY 20TH STREET                       ,11214,40.604976,-74.0022709
11 BAY 20TH   STREET                     ,11214,40.605943,-74.0012689
8665 19TH   AVENUE                       ,11214,40.604487,-74.0015279
34 BAY 22ND   STREET                     ,11214,40.604894,-74.000669
84 BAY 22ND STREET                       ,11214,40.604016,-74.00157999999999
38 BAY 22ND STREET                       ,11214,40.604813,-74.000753
32 BAY 23RD STREET                       ,11214,40.604443,-73.999971
8634 20TH   AVENUE                       ,11214,40.604237,-73.999025
8660 20TH   AVENUE                       ,11214,40.603589,-73.99969
8662 20TH AVENUE                         ,11214,40.603532,-73.999749
15 BAY 25TH STREET                       ,11214,40.603614,-73.997677
98 BAY 8TH   STREET                      ,11228,40.609966,-74.012552
106 BAY 8TH STREET                       ,11228,40.609815,-74.0127119
156 BAY 8TH   STREET                     ,11228,40.608927,-74.013661
8710 15TH AVENUE                         ,11228,40.6093339,-74.012055
8739 15TH AVENUE                         ,11228,40.608452,-74.01215499999999
8701 16TH AVENUE                         ,11214,40.6078509,-74.009209
128 BAY 13TH STREET                      ,11214,40.607174,-74.00940299999999
129 BAY 13TH STREET                      ,11214,40.606863,-74.0088959
8693 17 AVE                              ,11214,40.6064549,-74.006686
8716 19TH AVENUE                         ,11214,40.60378499999999,-74.002999
8728 19TH AVENUE                         ,11214,40.603561,-74.00333599999999
113 BAY 25TH   STREET                    ,11214,40.601732,-73.999659
8736 21ST   AVENUE                       ,11214,40.60063,-73.99918699999999
8709 21ST   AVENUE                       ,11214,40.6008629,-73.9981509
110 BAY 28TH   STREET                    ,11214,40.600739,-73.997826
122 BAY 28TH   STREET                    ,11214,40.600328,-73.9979352
127 BAY 29TH STREET                      ,11214,40.5997891,-73.99728449999999
125 BAY 29TH STREET                      ,11214,40.59969,-73.997056
180 BAY 8TH   STREET                     ,11228,40.60835,-74.0142429
1502 BATH AVENUE                         ,11228,40.607759,-74.013064
183 BAY 10TH STREET                      ,11228,40.607099,-74.01244400000002
8825 16TH   AVENUE                       ,11214,40.60544,-74.0117269
8794 17TH AVENUE                         ,11214,40.604786,-74.009275
8794 19TH   AVENUE                       ,11214,40.602191,-74.004756
184 BAY 26TH   STREET                    ,11214,40.600121,-74.000873
2066 BATH AVENUE                         ,11214,40.599983,-73.999848
198 BAY 28TH STREET                      ,11214,40.598959,-73.999697
8788 BAY PARKWAY                         ,11214,40.59823300000001,-73.99810599999999
8908 15TH AVENUE                         ,11228,40.605422,-74.016116
305 BAY 10TH STREET                      ,11228,40.604712,-74.01491
303 BAY 10TH STREET                      ,11228,40.604755,-74.014865
270 BAY 11TH STREET                      ,11228,40.605154,-74.013994
8659 BAY 16TH   STREET                   ,11214,40.606809,-74.005129
8659 BAY 16 STREET                       ,11214,40.606809,-74.005129
8657 BAY 16TH   STREET                   ,11214,40.606846,-74.0050909
70 BAY 20TH STREET                       ,11214,40.605148,-74.002813
57 BAY 20TH   STREET                     ,11214,40.6052318,-74.002359
8616 19TH   AVENUE                       ,11214,40.605705,-74.00107299999999
21 BAY 22ND   STREET                     ,11214,40.6049157,-74.0001025
33 BAY 26TH   STREET                     ,11214,40.602866,-73.997292
33 BAY 26TH STREET                       ,11214,40.602866,-73.997292
68 BAY 28TH   STREET                     ,11214,40.601607,-73.996901
1613 BATH AVENUE                         ,11214,40.606627,-74.010173
8711 BAY 16TH   STREET                   ,11214,40.6057922,-74.00640779999999
1758 BENSON AVENUE                       ,11214,40.6056896,-74.0050143
8744 18TH AVE                            ,11214,40.604433,-74.006
8750 18TH AVENUE                         ,11214,40.6044582,-74.0058202
8752 18TH AVENUE                         ,11214,40.6044016,-74.00586109999999
8754 18TH   AVENUE                       ,11214,40.6043546,-74.0059097
8756 18TH AVENUE                         ,11214,40.6043168,-74.0059488
8760 18TH   AVENUE                       ,11214,40.6042299,-74.0060386
2102 BENSON AVENUE                       ,11214,40.601325,-73.997817
2108 BENSON AVENUE                       ,11214,40.601248,-73.997689
127 BAY 28TH   STREET                    ,11214,40.6001757,-73.9980453
121 BAY 28TH   STREET                    ,0,40.600109,-73.997755
225 BAY 7TH STREET                       ,11228,40.607636,-74.015438
187 BAY 19TH   STREET                    ,11214,40.6031078,-74.00575529999999
