Address,lat,lng
3479 MICKLE AVENUE                       ,40.878837,-73.84660099999999
3477 MICKLE AVE                          ,40.878782,-73.846569
3477 MICKLE AVENUE                       ,40.878782,-73.846569
3487 KINGSLAND AVENUE                    ,40.879044,-73.845758
3416 KINGSLAND AVENUE                    ,40.877538,-73.844303
3427 WICKHAM AVENUE                      ,40.878371,-73.84241399999999
3411 WICKHAM AVENUE                      ,40.8779449,-73.842185
3341 BOUCK AVENUE                        ,40.87413799999999,-73.851277
3337 BOUCK AVENUE                        ,40.874037,-73.85122199999999
3335 BOUCK AVENUE                        ,40.87398900000001,-73.851196
1276 GIVAN AVENUE                        ,40.8728849,-73.85015
1288 GIVAN AVENUE                        ,40.873016,-73.849741
3221 WILSON AVENUE                       ,40.872411,-73.849334
3304 WILSON AVENUE                       ,40.873633,-73.849363
3310 FISH AVENUE                         ,40.874041,-73.84857099999999
3211 FISH AVENUE                         ,40.872233,-73.848215
3244 FISH AVENUE                         ,40.87350199999999,-73.848276
3215 FENTON AVENUE                       ,40.8729075,-73.8464717
3213 FENTON AVENUE                       ,40.8728612,-73.8464448
3257 CORSA AVENUE                        ,40.8740923,-73.84607609999999
3253 CORSA AVENUE                        ,40.873984,-73.84612
3239 CORSA AVENUE                        ,40.873645,-73.845936
3307 EASTCHESTER ROAD                    ,40.87489,-73.84556400000001
3251 MICKLE AVENUE                       ,40.8743679,-73.84417200000001
3235 MICKLE AVENUE                       ,40.874182,-73.844072
3340 KINGSLAND AVENUE                    ,40.876455,-73.84374000000001
3327 GUNTHER AVENUE                      ,40.876466,-73.84236899999999
3307 GUNTHER AVENUE                      ,40.87600399999999,-73.842128
3303 GUNTHER AVENUE                      ,40.875909,-73.842078
3322 TIEMANN AVENUE                      ,40.87627,-73.842649
3354 GUNTHER AVENUE                      ,40.8773826,-73.84231249999999
3152 KINGSLAND AVENUE                    ,40.873494,-73.84216099999999
3025A MICKLE AVENUE                      ,40.870574,-73.842286
3017 MICKLE AVE                          ,40.870247,-73.842131
1511 ADEE AVENUE                         ,40.8697734,-73.8422106
3114 TIEMANN AVENUE                      ,40.872736,-73.840756
3039 GUNTHER AVENUE                      ,40.871525,-73.8397899
3010 WICKHAM AVE                         ,40.871241,-73.838163
3008 ELY AVENUE                          ,40.871798,-73.8364749
3015 EDSON AVENUE                        ,40.872319,-73.83536099999999
3011 EDSON AVENUE                        ,40.87226,-73.8352846
3008 GRACE AVENUE                        ,40.872017,-73.835612
1831 ARNOW AVENUE                        ,40.86965800000001,-73.836376
1831 ARNOW AVE                           ,40.86965800000001,-73.836376
