Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
074-0221-000,10840 W BRADLEY RD,Colonial,1996,2.0,"2,373",Prem Wood,3,2,0,"74,923",2016-02,"275,000",0240,9
117-0369-000,6968 N 89TH ST,Colonial,1969,2.0,"1,648",Aluminum / Vinyl,4,1,1,"9,300",2016-03,"136,100",0480,9
072-0506-000,9649 W GOODRICH AV,Colonial,1996,2.0,"1,601",Aluminum / Vinyl,3,1,1,"10,624",2016-02,"168,000",0240,9
118-0208-000,6911 N 78TH ST,Colonial,1974,2.0,"1,214",Frame,3,1,0,"7,200",2016-03,"132,000",0480,9
074-9984-000,11034 W BRADLEY RD,Ranch,2008,1.5,"2,688",Masonry / Frame,3,2,0,"21,780",2016-01,"313,000",0240,9
118-0110-000,7804 W GREEN TREE RD,Ranch,1971,1.0,"1,958",Aluminum / Vinyl,5,2,1,"7,800",2016-03,"135,000",0480,9
074-0236-000,8251 N 111TH ST,Ranch,2001,1.0,"1,905",Aluminum / Vinyl,3,2,0,"13,092",2016-03,"242,000",0240,9
078-0011-000,7704 N 107TH ST,Ranch,1999,1.0,"1,695",Aluminum / Vinyl,3,2,0,"27,443",2016-02,"153,000",0440,9
108-0266-000,8830 W PORTAGE ST,Ranch,1969,1.0,"1,587",Aluminum / Vinyl,3,1,1,"9,625",2016-01,"148,500",0440,9
034-1257-000,9418 W LARAMIE RD,Ranch,2006,1.0,"1,525",Aluminum / Vinyl,3,2,0,"7,608",2016-04,"140,000",0040,9
078-9992-221,10501 W BRADLEY RD,Ranch,1963,1.0,"1,461",Frame,3,1,1,"21,780",2016-03,"148,000",0240,9
117-0197-000,6900 N 86TH ST,Ranch,1966,1.0,"1,420",Frame,3,1,1,"11,485",2016-03,"140,000",0480,9
117-0503-000,8930 W HUSTIS ST,Ranch,1981,1.0,"1,367",Aluminum / Vinyl,3,1,1,"9,000",2016-02,"150,000",0480,9
104-0057-000,7521 N 52ND ST,Ranch,1957,1.0,"1,364",Aluminum / Vinyl,3,1,1,"9,375",2016-01,"135,900",0360,9
143-0128-000,8808 W KIEHNAU AV,Ranch,1961,1.0,"1,286",Brick,3,2,0,"10,571",2016-02,"151,900",0480,9
117-0253-000,8731 W HUSTIS ST,Ranch,1968,1.0,"1,254",Aluminum / Vinyl,3,1,1,"9,000",2016-02,"77,500",0480,9
073-0352-000,10528 W ARCH AV,Ranch,1972,1.0,"1,200",Aluminum / Vinyl,3,2,1,"13,300",2016-01,"122,000",0240,9
084-0110-000,7823 N 53RD ST,Ranch,1957,1.0,"1,193",Aluminum / Vinyl,3,2,1,"10,261",2016-03,"115,000",0360,9
141-0055-000,6665 N 74TH ST,Ranch,1961,1.0,"1,187",Brick,3,1,0,"7,200",2016-02,"73,000",0660,9
143-0171-000,8847 W KIEHNAU AV,Ranch,1958,1.0,"1,126",Aluminum / Vinyl,3,1,1,"7,200",2016-03,"121,500",0480,9
141-0230-000,6901 W ACACIA ST,Ranch,1966,1.0,"1,083",Aluminum / Vinyl,3,1,1,"7,200",2016-01,"84,900",0660,9
143-0721-000,8018 W CASPER ST,Ranch,1958,1.0,"1,063",Aluminum / Vinyl,3,2,0,"7,200",2016-01,"88,600",0480,9
139-0221-100,6422 N 60TH CT,Ranch,1964,1.0,"1,062",Aluminum / Vinyl,3,1,0,"8,928",2016-02,"35,000",0560,9
084-0378-000,5725 W CALUMET RD,Ranch,1958,1.0,"1,058",Frame,3,1,1,"12,375",2016-03,"120,000",0360,9
139-9774-200,6657 N 56TH ST,Ranch,1962,1.0,"1,034",Brick,3,1,0,"5,984",2016-01,"91,000",0560,9
138-0001-000,6403 N 49TH ST,Ranch,1964,1.0,"1,033",Aluminum / Vinyl,3,1,1,"6,000",2016-02,"69,900",0560,9
173-0094-000,5692 N 58TH ST,Ranch,1953,1.0,672,Aluminum / Vinyl,2,1,0,"5,250",2016-01,"54,000",0960,9
