Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
624-1008-000,4930 S 18TH ST,Cape Cod,1986,1.5,"3,098",Frame,4,2,2,"8,640",2014-07,"270,000",4780,13
643-2562-000,5260 S 19TH ST,Cape Cod,1993,1.5,"2,059",Prem Wood,3,2,2,"29,171",2014-05,"260,000",4780,13
669-0106-000,2506 W RAMSEY AV,Cape Cod,1951,1.0,"1,971",Brick,3,2,0,"5,400",2014-10,"147,000",4860,13
551-0824-000,3700 S 14TH ST,Cape Cod,1948,1.5,"1,970",Brick,4,2,0,"5,040",2014-05,"163,000",4520,13
644-9970-130,2535 W ABBOTT AV,Cape Cod,2003,2.0,"1,964",Aluminum / Vinyl,4,2,1,"5,590",2014-05,"225,000",4780,13
644-0407-000,5214 S 23RD ST,Cape Cod,1966,1.5,"1,953",Brick,4,2,0,"9,750",2014-08,"205,000",4780,13
623-1116-000,4963 S 22ND PL,Cape Cod,1997,1.5,"1,725",Aluminum / Vinyl,3,2,0,"8,970",2014-08,"219,000",4660,13
535-0365-000,3515 S 19TH ST,Cape Cod,1947,1.0,"1,666",Frame,3,1,0,"5,125",2014-12,"134,900",4520,13
594-0500-000,4420 S BURRELL ST,Cape Cod,1952,1.5,"1,659",Brick,4,2,0,"5,400",2014-08,"167,000",4720,13
552-1340-000,3750 S 22ND ST,Cape Cod,1952,1.0,"1,652",Stone,3,1,1,"5,805",2014-06,"117,000",4360,13
625-0054-000,4814 S 7TH ST,Cape Cod,1951,1.0,"1,516",Aluminum / Vinyl,4,1,1,"9,000",2014-12,"81,000",4740,13
551-0034-000,3554 S 17TH ST,Cape Cod,1954,1.0,"1,477",Brick,4,2,0,"5,850",2014-08,"105,000",4520,13
594-0905-000,4466 S BURRELL ST,Cape Cod,1939,1.5,"1,477",Aluminum / Vinyl,2,1,1,"6,750",2014-06,"232,000",4720,13
669-9934-100,2116 W GOLDCREST AV,Cape Cod,1938,1.0,"1,476",Aluminum / Vinyl,3,1,1,"19,008",2014-08,"133,900",4860,13
552-1373-000,3654 S 23RD ST,Cape Cod,1951,1.0,"1,453",Stucco,4,2,0,"6,450",2014-09,"137,900",4360,13
549-0057-000,3830 S 5TH PL,Cape Cod,1948,1.0,"1,428",Aluminum / Vinyl,3,2,0,"5,460",2014-12,"135,000",4700,13
552-1365-000,3649 S 22ND ST,Cape Cod,1949,1.0,"1,407",Aluminum / Vinyl,3,2,0,"6,450",2014-02,"126,000",4360,13
534-0546-000,3256 S 23RD ST,Cape Cod,1949,1.5,"1,387",Brick,3,1,1,"4,850",2014-02,"119,000",4360,13
549-0839-000,154 W WILBUR AV,Cape Cod,1937,1.0,"1,346",Brick,3,2,0,"6,006",2014-08,"180,000",4620,13
549-0125-000,184 W TRIPOLI AV,Cape Cod,1952,1.0,"1,341",Aluminum / Vinyl,3,1,1,"6,110",2014-04,"147,000",4620,13
595-0521-000,4500 S 5TH PL,Cape Cod,1957,1.0,"1,337",Brick,3,1,0,"6,150",2014-12,"139,000",4740,13
551-1203-000,3601 S 13TH ST,Cape Cod,1949,1.0,"1,327",Brick,3,1,0,"5,289",2014-11,"110,000",4520,13
594-0607-000,4535 S GRIFFIN AV,Cape Cod,1939,1.5,"1,324",Stucco,2,1,0,"4,375",2014-11,"141,800",4720,13
595-0643-000,412 W VAN NORMAN AV,Cape Cod,1954,1.0,"1,318",Brick,4,2,0,"7,290",2014-06,"147,000",4740,13
552-9980-000,2509 W MORGAN AV,Cape Cod,1953,1.0,"1,301",Brick,3,1,0,"5,160",2014-05,"105,000",4360,13
580-0660-200,305 W WATERFORD AV,Cape Cod,1941,1.5,"1,299",Aluminum / Vinyl,2,1,0,"3,560",2014-05,"92,500",4700,13
551-1010-000,1826 W HOWARD AV,Cape Cod,1951,1.0,"1,291",Aluminum / Vinyl,3,1,1,"5,160",2014-02,"98,000",4520,13
550-0182-200,807 W EDEN PL,Cape Cod,1950,1.0,"1,276",Aluminum / Vinyl,4,1,1,"5,286",2014-10,"92,000",4520,13
552-0921-000,3675 S 24TH ST,Cape Cod,1954,1.0,"1,272",Aluminum / Vinyl,4,1,0,"5,457",2014-05,"95,500",4360,13
551-0744-000,3701 S 16TH ST,Cape Cod,1948,1.0,"1,264",Aluminum / Vinyl,4,1,0,"4,680",2014-10,"98,000",4520,13
549-0699-000,3519 S 5TH PL,Cape Cod,1949,1.5,"1,258",Stucco,3,2,0,"5,040",2014-08,"105,000",4700,13
551-0103-000,3755 S 13TH ST,Cape Cod,1946,1.0,"1,251",Brick,3,1,0,"5,000",2014-05,"122,000",4520,13
549-1407-000,3745 S 5TH ST,Cape Cod,1950,1.0,"1,250",Frame,4,2,0,"5,700",2014-07,"147,500",4700,13
551-0123-000,3851 S 13TH ST,Cape Cod,1951,1.0,"1,244",Stone,3,1,0,"4,840",2014-07,"126,000",4520,13
551-0311-100,3555 S 15TH PL,Cape Cod,1950,1.0,"1,239",Stone,3,2,0,"4,896",2014-05,"112,000",4520,13
580-9990-000,4043 S 2ND ST,Cape Cod,1951,1.0,"1,234",Aluminum / Vinyl,3,1,0,"5,240",2014-04,"129,500",4700,13
549-0698-000,3515 S 5TH PL,Cape Cod,1950,1.5,"1,230",Stucco,3,2,0,"5,040",2014-07,"101,200",4700,13
551-0766-000,3713 S 15TH PL,Cape Cod,1950,1.0,"1,223",Brick,3,1,1,"4,480",2014-09,"95,000",4520,13
