Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
494-0419-000,3336 W HAYES AV,Cape Cod,1955,1.5,"1,361",Aluminum / Vinyl,4,1,1,"3,600",2015-04,"90,000",4000,8
459-1412-000,1516 S LAYTON BL,Colonial,1923,2.0,"3,904",Stucco,4,1,1,"10,558",2015-04,"150,000",4000,8
459-1505-000,1636 S LAYTON BL,Colonial,1924,2.0,"2,499",Brick,4,1,1,"6,210",2015-07,"166,000",4000,8
434-2372-000,1336 S 22ND ST,Colonial,2013,2.0,"1,870",Aluminum / Vinyl,4,2,0,"5,180",2015-08,"109,900",4050,8
436-0573-000,713 S 38TH ST,Colonial,2004,2.0,"1,456",Aluminum / Vinyl,3,2,0,"5,318",2015-10,"120,000",4060,8
434-2025-000,2023 W SCOTT ST,Cottage,1898,1.5,"1,319",Frame,4,1,0,"1,167",2015-06,"5,000",4050,8
434-2101-000,1245 S 20TH ST,Cottage,1883,1.0,962,Aluminum / Vinyl,3,1,0,"4,200",2015-07,"48,000",4050,8
459-0550-000,2143 W MAPLE ST,Cottage,1890,1.0,845,Aluminum / Vinyl,2,1,0,"3,000",2015-06,"38,000",4100,8
459-0032-000,1520A S 21ST ST,Cottage,1885,1.0,592,Aluminum / Vinyl,1,1,0,"2,010",2015-08,"30,000",4100,8
458-0506-000,1819 S LAYTON BL,Dplx Bungalow,1914,2.0,"2,892",Masonry / Frame,3,2,0,"5,600",2015-11,"119,900",4000,8
435-0210-000,928 S 32ND ST,Dplx Bungalow,1926,1.5,"2,300",Brick,4,2,0,"5,985",2015-06,"80,000",4060,8
471-0146-000,2166 S 33RD ST,Dplx Bungalow,1923,1.5,"2,211",Aluminum / Vinyl,4,2,0,"5,693",2015-01,"95,000",4000,8
471-0015-000,1910 S 28TH ST,Dplx Bungalow,1915,2.0,"2,180",Aluminum / Vinyl,4,2,0,"3,600",2015-10,"65,000",4000,8
495-0190-000,2359 S 30TH ST,Dplx Bungalow,1924,1.5,"2,013",Aluminum / Vinyl,4,2,0,"3,600",2015-07,"89,400",4000,8
435-0719-000,1040 S 30TH ST,Dplx Bungalow,1920,1.5,"2,002",Aluminum / Vinyl,3,2,0,"4,375",2015-10,"75,000",4060,8
471-0707-000,2210 S 31ST ST,Dplx Bungalow,1921,1.5,"1,887",Aluminum / Vinyl,4,2,0,"4,880",2015-01,"105,000",4000,8
457-0127-000,3510 W BRANTING LA,Dplx Bungalow,1923,1.5,"1,882",Aluminum / Vinyl,4,2,0,"3,600",2015-01,"79,500",4060,8
