Taxkey,Address,Style,YearBld,Story,Units,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
401-0986-000,2726 W CLYBOURN ST,AP 3,1928,3.0,18,"6,162",Brick,0,1,0,"3,750",2015-03,"270,000",6876,4
391-0250-100,1131 N 12TH ST,Rm or Rooming House,1885,2.0,11,"4,162",Brick,11,3,0,"11,375",2015-12,"20,000",6899,4
389-0009-000,813 N 23RD ST,Rm or Rooming House,1900,2.0,9,"3,133",Frame,9,4,0,"4,000",2015-12,"95,700",6899,4
253-0410-100,4140 N 92ND ST,AP 1,1959,2.0,4,"5,146",Brick,10,1,1,"12,885",2015-09,"140,000",6650,5
252-0712-100,8131 W CONGRESS ST,AP 1,1959,2.0,4,"4,354",Brick,8,1,0,"9,939",2015-05,"201,000",6650,5
253-0415-000,4119 N 91ST ST,AP 1,1958,2.0,4,"4,078",Brick,10,1,1,"10,310",2015-04,"185,000",6650,5
253-0418-000,4153 N 91ST ST,AP 1,1958,2.0,4,"4,070",Brick,10,1,1,"10,160",2015-07,"200,500",6650,5
303-0141-100,7914 W CENTER ST,AP 1,1950,2.0,4,"3,956",Brick,8,1,0,0,2015-11,"506,000",6663,5
333-0103-000,8815 W CENTER ST,AP 1,1947,2.0,4,"3,732",Stone,8,1,0,"9,480",2015-08,"230,000",6663,5
332-0310-000,2670 N 81ST ST,AP 1,1949,2.0,4,"3,640",Brick,8,1,0,"10,403",2015-03,"256,765",6663,5
261-0442-000,9605 W CAPITOL DR,AP 1,1956,2.0,4,"2,739",Brick,4,1,0,"9,000",2015-12,"159,000",6661,5
224-9993-200,7811 W HAMPTON AV,AP 2,1962,2.0,10,"8,718",Brick,24,1,0,"12,000",2015-09,"450,000",6673,5
262-0612-000,8610 W MELVINA ST,AP 2,1950,1.0,8,"3,565",Brick,8,1,0,"11,590",2015-09,"155,500",6650,5
354-0153-000,2105 N BOOTH ST,AP 1,1925,3.0,6,"6,936",Brick,18,1,0,"5,670",2015-06,"310,000",6760,6
