Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
206-0817-000,5076 N 24TH PL,Ranch,1945,1.0,"1,168",Aluminum / Vinyl,4,1,1,"4,800",2014-08,"43,625",1340,1
123-0233-000,3707 W HELENA ST,Ranch,1960,1.0,"1,104",Aluminum / Vinyl,3,2,0,"6,600",2014-03,"110,000",0600,1
196-0103-000,1215 W SILVER SPRING DR,Ranch,1953,1.0,"1,080",Stone,3,1,1,"7,200",2014-04,"94,000",1220,1
191-9825-000,5359 N 44TH ST,Ranch,1953,1.0,"1,078",Brick,3,1,1,"6,100",2014-05,"85,900",1140,1
209-0651-100,4836 N 47TH ST,Ranch,1960,1.0,"1,053",Aluminum / Vinyl,3,1,1,"7,260",2014-04,"33,000",1150,1
170-0613-000,3136 W REICHERT PL,Ranch,1955,1.0,"1,026",Brick,3,1,0,"6,000",2014-11,"74,500",0900,1
123-0247-000,7035 N 39TH ST,Ranch,1964,1.0,"1,002",Aluminum / Vinyl,3,1,0,"9,024",2014-06,"78,000",0600,1
206-1616-000,4912 N 22ND ST,Ranch,1952,1.0,963,Aluminum / Vinyl,3,1,0,"5,040",2014-07,"64,900",1340,1
102-0128-000,3814 W HEMLOCK ST,Ranch,1955,1.0,920,Brick,3,1,0,"9,990",2014-10,"97,000",0380,1
206-0835-000,5019 N 24TH ST,Ranch,1951,1.0,890,Brick,3,1,0,"4,800",2014-06,"44,000",1340,1
232-0232-000,1736 W CONGRESS ST,Ranch,1950,1.0,855,Aluminum / Vinyl,2,1,0,"6,450",2014-04,"66,000",1620,1
192-1143-000,5453 N 41ST ST,Ranch,1948,1.0,844,Brick,2,1,0,"4,800",2014-10,"28,000",1160,1
190-0933-000,5272 N 54TH ST,Ranch,1936,1.0,823,Aluminum / Vinyl,2,1,0,"8,710",2014-03,"53,000",1140,1
210-0510-000,4938 N 54TH ST,Ranch,1953,1.0,816,Aluminum / Vinyl,2,1,0,"6,440",2014-06,"30,000",1140,1
170-9944-000,2800 W CARMEN AV,Residence O/S,1926,2.0,"1,331",Aluminum / Vinyl,3,1,1,"10,480",2014-08,"68,000",0900,1
231-0091-000,4381 N 26TH ST,Residence O/S,1924,2.0,"1,286",Aluminum / Vinyl,3,1,1,"4,000",2014-03,"31,500",1500,1
232-0235-000,1812 W CONGRESS ST,Residence O/S,1928,1.0,"1,224",Aluminum / Vinyl,4,1,0,"5,676",2014-01,"45,000",1620,1
232-0235-000,1812 W CONGRESS ST,Residence O/S,1928,1.0,"1,224",Aluminum / Vinyl,4,1,0,"5,676",2014-07,"45,000",1620,1
206-0899-000,4853 N 24TH ST,Residence O/S,1895,1.0,"1,128",Frame,4,1,0,"11,011",2014-02,"51,145",1340,1
192-0777-000,5375 N 38TH ST,Residence O/S,1925,1.0,"1,043",Brick,2,1,0,"5,040",2014-02,"39,900",1160,1
191-9867-000,5325 N 48TH ST,Residence O/S,1936,1.0,808,Aluminum / Vinyl,2,1,0,"5,125",2014-07,"31,000",1140,1
102-9923-100,7286 N 43RD ST,Tudor,1931,1.5,"1,784",Brick,3,2,1,"21,780",2014-11,"135,000",0380,1
