Taxkey,Address,Style,YearBld,Story,Units,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
231-0909-000,2615 W VICTORY LA,AP 1,1951,2.0,4,"3,200",Brick,8,1,0,"5,445",2016-03,"98,000",6691,1
251-9999-111,4312 N 76TH ST,AP 1,1960,2.0,6,"5,072",Brick,10,1,0,"10,750",2016-02,"270,000",6673,2
251-0181-000,7361 W BECKETT AV,AP 1,1959,2.0,4,"4,268",Brick,8,1,0,"9,600",2016-03,"165,000",6673,2
185-9990-210,5371 N 91ST ST,AP 1,1961,2.0,4,"3,400",Brick,8,1,0,"9,600",2016-02,"100,000",6674,2
153-0324-000,6333 N 77TH ST,AP 1,1959,2.0,4,"3,382",Brick,8,1,0,"9,600",2016-01,"125,000",6620,2
315-0140-000,2752 N BARTLETT AV,AP 1,1926,3.0,6,"6,978",Brick,12,1,0,"3,737",2016-01,"570,000",6770,3
319-0649-000,2450 N CRAMER ST,AP 1,1890,2.0,5,"5,749",Aluminum / Vinyl,10,1,0,"5,080",2016-01,"355,000",6770,3
321-2114-000,816 E CLARKE ST,AP 1,1885,2.0,5,"4,161",Aluminum / Vinyl,9,1,0,"3,360",2016-04,"270,000",6760,3
321-0008-000,2500 N FRATNEY ST,AP 1,1893,2.0,4,"2,849",Aluminum / Vinyl,7,1,0,"2,775",2016-03,"69,000",6760,3
354-0624-000,1845 N HUMBOLDT AV,AP 1,1890,2.0,4,"2,408",Aluminum / Vinyl,7,4,0,0,2016-02,"357,140",6750,3
316-0358-000,1912 E LINNWOOD AV,AP 2,1915,3.0,7,"11,193",Brick,20,1,1,"4,800",2016-02,"900,000",6770,3
389-1707-000,2522 W WELLS ST,AP 3,1963,2.0,16,"6,840",Brick,2,1,0,"7,500",2016-03,"320,000",6876,4
332-0304-100,8225 W CENTER ST,AP 1,1951,2.0,4,"4,978",Brick,8,1,0,"10,300",2016-03,"320,000",6663,5
253-0523-100,4334 N 92ND ST,AP 1,1960,2.0,4,"4,068",Brick,8,1,0,"9,600",2016-01,"181,000",6650,5
216-9987-100,10416 W HAMPTON AV,AP 2,1961,2.0,8,"6,528",Brick,16,1,0,"19,256",2016-01,"380,000",6611,5
216-9986-110,4810 N 105TH ST,AP 3,1962,2.0,12,"10,752",Brick,24,1,0,"20,425",2016-02,"688,000",6869,5
203-0075-000,420 W HAMPTON AV,AP 1,1952,2.0,4,"2,532",Brick,4,1,0,"7,440",2016-01,"256,200",6761,6
289-1053-000,5235 W ROOSEVELT DR,AP 1,1951,2.0,4,"3,456",Stone,4,1,0,"10,460",2016-03,"175,000",6670,7
286-0284-000,3384 N 28TH ST,AP 2,1928,2.0,8,"5,986",Brick,8,1,0,"7,875",2016-02,"148,500",6701,7
471-1057-000,1964 S 30TH ST,AP 1,1911,2.0,4,"3,460",Aluminum / Vinyl,8,1,0,"5,000",2016-01,"124,000",6790,8
305-0430-000,2865 N HARTUNG AV,AP 1,1946,2.0,4,"3,738",Brick,8,1,0,"6,000",2016-01,"160,000",6660,10
527-9953-100,8239 W OKLAHOMA AV,AP 1,1959,2.0,4,"3,340",Brick,8,1,0,"9,900",2016-03,"240,000",6820,11
525-1542-000,9915 W OKLAHOMA AV,AP 2,1993,2.0,8,"8,350",Brick,16,1,0,"20,633",2016-02,"685,000",6820,11
497-0700-000,2501 S 11TH ST,AP 1,1903,2.0,4,"2,997",Aluminum / Vinyl,5,1,0,"3,600",2016-03,"47,900",6780,12
668-0313-000,5624 S MARILYN ST,AP 1,1960,2.0,4,"3,528",Brick,8,1,0,"9,940",2016-02,"262,500",6850,13
577-9912-100,2040 W BOLIVAR AV,Town House Apt,1973,2.0,5,"5,255",Frame,11,1,1,"18,063",2016-03,"385,000",6850,13
507-0801-000,2977 S 7TH ST,AP 1,1911,2.0,4,"3,480",Block,9,1,0,"3,660",2016-03,"85,000",6780,14
500-0348-000,2416 S LOGAN AV,AP 2,1927,2.0,8,"7,326",Brick,11,1,0,"7,500",2016-01,"600,000",6860,14
352-0782-000,1212 W VINE ST,AP 1,1900,2.0,4,"3,454",Aluminum / Vinyl,10,1,0,"5,490",2016-03,"46,000",6702,15
