Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
073-0200-000,10434 W TERRA AV,Bi-Level,1968,1.0,"1,616",Aluminum / Vinyl,3,1,1,"9,000",2015-02,"134,000",0240,9
073-0484-000,8291 N JOSEPH AV,Cape Cod,1972,1.0,"1,688",Aluminum / Vinyl,5,2,0,"7,245",2015-07,"134,000",0240,9
143-0376-000,6637 N 84TH ST,Cape Cod,1957,1.5,"1,640",Aluminum / Vinyl,6,1,1,"7,200",2015-11,"83,000",0480,9
004-9986-000,9513 N SWAN  RD,Cape Cod,1950,1.0,"1,527",Aluminum / Vinyl,3,1,0,"21,780",2015-06,"179,000",0040,9
081-0008-000,7909 W BRADLEY RD,Cape Cod,1957,1.0,"1,501",Aluminum / Vinyl,3,1,1,"20,000",2015-06,"87,000",0240,9
139-9986-110,6424 N 58TH ST,Cape Cod,1967,1.0,"1,447",Brick,4,2,2,"7,452",2015-12,"59,000",0560,9
104-0053-000,5232 W HEMLOCK RD,Cape Cod,1957,1.0,"1,420",Aluminum / Vinyl,4,1,1,"9,000",2015-03,"113,500",0360,9
139-1561-000,6731 N 54TH ST,Cape Cod,1939,1.5,"1,239",Frame,3,1,0,"6,028",2015-01,"63,000",0560,9
139-0841-000,6534 N 56TH ST,Cape Cod,1940,1.0,"1,092",Aluminum / Vinyl,3,1,0,"9,315",2015-07,"62,900",0560,9
079-0243-000,7942 N RIVER VIEW CT,Colonial,2014,2.0,"2,904",Aluminum / Vinyl,4,2,1,"12,379",2015-06,"259,500",0240,9
079-0202-000,9519 W PARKLAND CT,Colonial,2011,2.0,"2,887",Aluminum / Vinyl,4,3,1,"9,834",2015-07,"256,500",0240,9
074-0272-000,11066 W ARCH CT,Colonial,2001,2.0,"2,845",Aluminum / Vinyl,4,2,1,"15,638",2015-03,"268,000",0240,9
079-0241-000,7957 N RIVER VIEW CT,Colonial,2015,2.0,"2,615",Aluminum / Vinyl,4,3,0,"9,325",2015-12,"259,900",0240,9
074-0252-000,8346 N 111TH ST,Colonial,2001,2.0,"2,444",Aluminum / Vinyl,3,2,1,"12,590",2015-06,"242,000",0240,9
074-0235-000,8239 N 111TH ST,Colonial,2001,2.0,"2,431",Aluminum / Vinyl,4,2,1,"13,068",2015-06,"229,000",0240,9
073-0159-000,8009 N 102ND ST,Colonial,1966,2.0,"2,108",Frame,4,2,1,"10,763",2015-10,"189,900",0240,9
079-0228-000,9604 W LOLITA AV,Colonial,2007,2.0,"2,050",Aluminum / Vinyl,4,2,1,"9,230",2015-12,"215,000",0240,9
073-0055-000,10324 W TOWER AV,Colonial,1971,2.0,"1,974",Aluminum / Vinyl,5,2,1,"9,662",2015-12,"185,900",0240,9
079-0203-000,9531 W PARKLAND CT,Colonial,2007,2.0,"1,938",Aluminum / Vinyl,4,2,1,"9,000",2015-09,"224,900",0240,9
117-0163-000,8418 W DENVER AV,Colonial,1968,2.0,"1,821",Masonry / Frame,4,1,1,"9,000",2015-02,"153,000",0480,9
084-0309-000,7635 N HIGHVIEW DR,Colonial,1969,2.0,"1,743",Aluminum / Vinyl,4,1,1,"14,400",2015-07,"151,900",0360,9
122-0562-000,7085 N 44TH ST,Colonial,1978,2.0,"1,694",Aluminum / Vinyl,4,2,1,"9,943",2015-06,"145,000",0600,9
117-0134-000,8830 W DALLAS ST,Colonial,1968,2.0,"1,636",Aluminum / Vinyl,4,1,1,"9,000",2015-05,"151,000",0480,9
072-0402-000,9838 W DARNEL AV,Colonial,1990,2.0,"1,614",Aluminum / Vinyl,3,2,1,"8,832",2015-05,"138,913",0240,9
120-0076-000,6300 W HUSTIS ST,Colonial,1963,2.0,"1,607",Aluminum / Vinyl,4,1,1,"7,344",2015-11,"130,000",0520,9
117-0196-000,6892 N BURBANK AV,Colonial,1966,2.0,"1,606",Frame,4,1,1,"11,400",2015-11,"136,000",0480,9
117-0064-000,8831 W DALLAS ST,Colonial,1966,2.0,"1,594",Frame,4,1,1,"11,250",2015-11,"157,000",0480,9
139-9973-000,6612 N 58TH ST,Colonial,1951,2.0,"1,594",Masonry / Frame,4,1,1,"21,070",2015-03,"110,000",0560,9
072-0560-000,8325 N 93RD ST,Colonial,2000,2.0,"1,495",Aluminum / Vinyl,3,2,0,"7,687",2015-06,"151,000",0240,9
139-1242-000,6561 N 54TH ST,Colonial,2006,2.0,"1,456",Aluminum / Vinyl,3,2,1,"6,688",2015-07,"116,125",0560,9
141-0409-100,6737 W BRENTWOOD AV,Duplex N/S,1969,2.0,"2,400",Brick,6,2,2,"7,800",2015-05,"91,500",0660,9
