Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
598-0013-000,2412 W WHITAKER AV,Cape Cod,1957,1.0,"1,516",Brick,4,2,0,"9,472",2016-01,"143,000",4660,13
551-9974-000,3529 S 14TH ST,Cape Cod,1910,1.5,"1,318",Aluminum / Vinyl,3,2,0,"5,600",2016-03,"132,000",4520,13
580-0043-000,3955 S 1ST PL,Cape Cod,1948,1.0,"1,317",Brick,4,1,0,"4,800",2016-01,"139,000",4700,13
580-0972-000,4139 S 1ST PL,Cape Cod,1961,1.0,"1,260",Aluminum / Vinyl,4,1,1,"4,800",2016-01,"158,000",4700,13
595-9878-200,4383 S 5TH ST,Cape Cod,1952,1.0,"1,247",Aluminum / Vinyl,3,2,0,"7,872",2016-02,"167,900",4740,13
534-0622-000,3234 S 26TH ST,Cape Cod,1948,1.0,"1,198",Brick,3,1,0,"4,800",2016-02,"96,000",4360,13
549-0815-000,191 W WARNIMONT AV,Cape Cod,1951,1.0,"1,186",Brick,3,1,1,"8,729",2016-03,"130,000",4620,13
551-0619-000,3656 S 15TH ST,Cape Cod,1954,1.0,"1,133",Brick,3,1,0,"5,240",2016-02,"120,000",4520,13
551-0966-000,3758 S 20TH ST,Cape Cod,1943,1.0,"1,006",Aluminum / Vinyl,3,1,0,"4,880",2016-02,"105,000",4520,13
551-0106-000,3771 S 13TH ST,Cape Cod,1947,1.0,989,Brick,2,1,0,"5,000",2016-03,"71,100",4520,13
551-9919-000,3578 S 17TH ST,Cape Cod,1946,1.0,953,Aluminum / Vinyl,3,1,0,"4,756",2016-01,"34,023",4520,13
551-0019-000,3557 S 18TH ST,Cape Cod,1947,1.0,776,Aluminum / Vinyl,2,1,0,"5,246",2016-01,"123,000",4520,13
580-0256-000,4112 S 2ND ST,Cape Cod,1941,1.0,723,Aluminum / Vinyl,2,1,0,"4,800",2016-01,"74,200",4700,13
644-0105-000,2105 W EDGERTON AV,Colonial,1968,2.0,"3,385",Aluminum / Vinyl,7,4,0,"13,244",2016-03,"285,000",4780,13
644-1572-000,2423 W ABBOTT AV,Colonial,1974,2.0,"2,285",Masonry / Frame,4,2,1,"9,880",2016-03,"207,000",4780,13
690-9969-110,2101 W BRIDGE ST,Colonial,1968,2.0,"2,031",Aluminum / Vinyl,4,1,1,"7,750",2016-01,"175,000",4860,13
581-1422-000,4165 S TAYLOR AV,Colonial,1890,2.0,"1,988",Aluminum / Vinyl,4,2,0,"7,178",2016-02,"185,250",4700,13
549-0845-000,120 W WILBUR AV,Colonial,1936,2.0,"1,770",Brick,3,1,1,"8,320",2016-03,"173,500",4620,13
642-0502-000,5228 S 8TH ST,Colonial,1971,2.0,"1,714",Aluminum / Vinyl,4,1,1,"7,626",2016-02,"130,500",4800,13
581-0609-000,4274 S BURRELL ST,Colonial,1939,2.0,"1,652",Aluminum / Vinyl,3,1,1,"6,300",2016-01,"174,000",4700,13
552-1245-000,3672 S 21ST ST,Colonial,1949,2.0,"1,404",Brick,3,1,1,"5,640",2016-01,"142,500",4360,13
580-0022-000,3975 S 1ST ST,Colonial,1940,2.0,"1,212",Aluminum / Vinyl,2,1,0,"4,200",2016-02,"142,000",4700,13
535-0936-000,3305 S 18TH ST,Dplx Bungalow,1928,1.5,"2,233",Aluminum / Vinyl,5,3,0,"3,960",2016-01,"120,000",4520,13
535-0762-000,3241A S 15TH PL,Dplx Bungalow,1925,1.5,"2,229",Brick,5,2,0,"4,725",2016-01,"105,000",4520,13
508-0191-000,1532 W OKLAHOMA AV,Duplex N/S,1952,2.0,"2,263",Brick,4,2,0,"4,440",2016-03,"135,000",4180,13
687-0216-000,231 W UNCAS AV,Duplex N/S,1967,1.5,"2,198",Aluminum / Vinyl,5,2,0,"10,098",2016-01,"154,000",4920,13
508-0062-000,2876 S 16TH ST,Duplex O/S,1900,1.5,"1,564",Frame,4,2,1,"5,900",2016-02,"87,500",4180,13
551-0732-000,3751 S 17TH ST,Milwaukee Bungalow,1929,1.0,"1,800",Aluminum / Vinyl,3,1,0,"4,720",2016-02,"100,000",4520,13
508-0197-000,3038 S 15TH PL,Milwaukee Bungalow,1922,1.0,"1,154",Aluminum / Vinyl,3,1,0,"3,600",2016-01,"100,000",4180,13
643-2473-000,1820 W UPHAM CT,Ranch,1983,1.0,"1,720",Aluminum / Vinyl,3,1,1,"13,329",2016-02,"196,000",4780,13
644-0212-000,2115 W MALLORY AV,Ranch,1967,1.0,"1,628",Brick,3,1,1,"12,975",2016-03,"199,000",4780,13
624-1209-000,5002 S 20TH ST,Ranch,1972,1.0,"1,626",Aluminum / Vinyl,3,1,1,"8,160",2016-02,"176,900",4780,13
578-0222-000,1935 W PLAINFIELD AV,Ranch,1957,1.0,"1,528",Frame,3,1,0,"11,760",2016-02,"126,000",4660,13
690-0232-000,2135 W HENRY AV,Ranch,1962,1.0,"1,507",Brick,3,1,1,"12,996",2016-03,"162,150",4860,13
644-9942-200,2302 W CLAYTON CREST AV,Ranch,1962,1.0,"1,463",Brick,3,2,1,"11,180",2016-03,"160,000",4780,13
643-0802-000,5336 S 14TH ST,Ranch,1969,1.0,"1,372",Aluminum / Vinyl,3,1,1,"7,800",2016-01,"142,500",4800,13
577-9981-211,2508 W LEROY AV,Ranch,1980,1.0,"1,207",Aluminum / Vinyl,3,1,1,"4,838",2016-01,"127,000",4660,13
598-0198-000,4358 S LOUISIANA AV,Ranch,1957,1.0,"1,198",Aluminum / Vinyl,3,1,1,"7,665",2016-02,"138,000",4660,13
597-9981-200,4467 S 15TH ST,Ranch,1964,1.0,"1,190",Aluminum / Vinyl,3,1,1,"4,945",2016-03,"136,500",4800,13
582-9961-200,4226 S PINE AV,Ranch,1964,1.0,"1,157",Brick,3,1,1,"6,864",2016-01,"118,000",4700,13
624-0117-000,1506 W BARNARD AV,Ranch,1971,1.0,"1,135",Aluminum / Vinyl,3,1,1,"6,000",2016-01,"125,000",4800,13
552-0306-000,3571 S 24TH ST,Ranch,1953,1.0,"1,134",Aluminum / Vinyl,3,2,0,"6,708",2016-01,"124,000",4360,13
598-0213-000,4339 S LOUISIANA AV,Ranch,1957,1.0,"1,130",Aluminum / Vinyl,3,1,0,"7,200",2016-01,"120,000",4660,13
597-0416-000,1700 W WHITAKER AV,Ranch,1959,1.0,"1,120",Brick,3,1,1,"9,504",2016-03,"75,000",4660,13
687-0108-000,171 W MANGOLD AV,Ranch,1964,1.0,"1,092",Aluminum / Vinyl,3,1,1,"6,240",2016-03,"152,000",4920,13
624-0216-000,1422 W HOLMES AV,Ranch,1966,1.0,"1,058",Aluminum / Vinyl,3,1,1,"5,900",2016-02,"100,000",4800,13
623-0109-000,2415 W CARPENTER AV,Ranch,1961,1.0,"1,036",Brick,2,1,0,"6,812",2016-01,"125,500",4660,13
623-0137-000,2267 W CARPENTER AV,Ranch,1961,1.0,"1,036",Brick,3,1,0,"6,550",2016-02,"119,000",4660,13
716-0064-000,6614 S 20TH ST,Ranch,1960,1.0,981,Aluminum / Vinyl,3,1,0,"6,000",2016-03,"123,000",4920,13
598-0187-000,4463 S KENTUCKY AV,Ranch,1958,1.0,976,Frame,3,1,0,"6,380",2016-02,"100,000",4660,13
598-0134-000,4344 S 21ST ST,Ranch,1959,1.0,963,Aluminum / Vinyl,3,1,0,"7,440",2016-01,"91,500",4660,13
690-0003-000,2260 W ALVINA AV,Ranch,1958,1.0,921,Aluminum / Vinyl,3,1,0,"8,320",2016-02,"103,900",4860,13
690-0009-000,2220 W ALVINA AV,Ranch,1960,1.0,912,Aluminum / Vinyl,3,1,0,"8,000",2016-03,"130,000",4860,13
716-0104-000,6710 S 20TH ST,Ranch,1961,1.0,907,Aluminum / Vinyl,3,1,0,"6,000",2016-03,"134,000",4920,13
624-0229-000,4968 S 15TH PL,Ranch,1957,1.0,905,Aluminum / Vinyl,3,1,1,"5,900",2016-02,"104,000",4800,13
716-0045-000,6653 S 19TH ST,Ranch,1960,1.0,891,Aluminum / Vinyl,3,1,0,"6,000",2016-02,"142,500",4920,13
