Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
158-0255-000,6129 N 37TH ST,Cape Cod,1950,1.0,"1,192",Aluminum / Vinyl,3,1,0,"5,600",2016-02,"40,700",0900,1
209-0189-000,5116 N 50TH ST,Cape Cod,1954,1.0,"1,159",Aluminum / Vinyl,4,2,0,"4,920",2016-01,"75,750",1150,1
191-9895-000,5341 N 47TH ST,Cape Cod,1951,1.0,"1,106",Aluminum / Vinyl,3,2,0,"5,289",2016-02,"63,000",1140,1
192-1101-000,5477 N 40TH ST,Cape Cod,1948,1.0,"1,069",Aluminum / Vinyl,2,1,0,"3,840",2016-03,"20,000",1160,1
208-0139-000,5140 N 42ND ST,Cape Cod,1947,1.0,999,Aluminum / Vinyl,4,1,0,"4,800",2016-03,"28,000",1440,1
171-9784-000,4221 W FLORIST AV,Cape Cod,1951,1.0,977,Stucco,3,1,0,"5,104",2016-01,"65,000",0900,1
206-0307-000,5041 N 23RD ST,Cape Cod,1946,1.0,975,Brick,3,1,0,"5,934",2016-03,"64,500",1340,1
171-0432-000,5716 N 41ST ST,Cape Cod,1949,1.0,861,Aluminum / Vinyl,2,1,0,"3,600",2016-03,"35,000",0900,1
190-1910-000,5520 N 54TH ST,Cape Cod,1951,1.0,841,Aluminum / Vinyl,3,1,0,"5,762",2016-02,"44,300",1140,1
171-9808-000,5665 N 40TH ST,Colonial,1932,2.0,"1,520",Aluminum / Vinyl,4,1,1,"7,080",2016-02,"41,000",0900,1
208-0536-000,4860 N 37TH ST,Dplx Bungalow,1920,1.5,"1,973",Aluminum / Vinyl,4,2,0,"5,400",2016-03,"55,000",1440,1
230-0527-000,4644 N 28TH ST,Dplx Bungalow,1928,1.5,"1,760",Aluminum / Vinyl,4,2,0,"3,600",2016-03,"31,000",1500,1
205-0130-000,4865 N 18TH ST,Duplex O/S,1921,1.5,"1,538",Aluminum / Vinyl,5,2,0,"7,620",2016-02,"48,000",1340,1
158-0151-000,6001 N 35TH ST,Ranch,1953,1.0,"1,132",Block,2,1,0,"5,160",2016-02,"20,000",0900,1
190-9859-000,5242 N 55TH ST,Ranch,1954,1.0,973,Aluminum / Vinyl,3,1,0,"8,775",2016-01,"38,250",1140,1
205-0626-000,4903 N 18TH ST,Ranch,1949,1.0,966,Frame,2,1,0,"6,477",2016-01,"42,000",1340,1
170-0428-000,5791 N 32ND ST,Ranch,1952,1.0,882,Aluminum / Vinyl,2,1,0,"5,400",2016-01,"42,000",0900,1
195-0278-100,5419 N 20TH ST,Ranch,1954,1.0,864,Aluminum / Vinyl,2,1,0,"8,030",2016-02,"59,900",1200,1
192-1146-000,5441 N 41ST ST,Residence O/S,1926,1.0,"1,236",Aluminum / Vinyl,4,1,1,"4,200",2016-01,"49,900",1160,1
245-9993-000,4354 N TEUTONIA AV,Residence O/S,1922,1.0,"1,181",Frame,3,1,0,"8,151",2016-02,"23,333",1620,1
