Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
353-0873-500,1821 N 4TH ST,Colonial,2005,2.0,"2,880",Fiber-Cement,3,2,1,"7,764",2014-12,"329,000",2920,6
353-1163-000,2121 N 5TH ST,Colonial,1982,2.0,"2,482",Aluminum / Vinyl,4,3,0,"15,000",2014-09,"205,000",2920,6
353-1221-000,1933 N 1ST ST,Colonial,1995,2.0,"2,058",Frame,3,2,1,"7,248",2014-10,"285,000",2910,6
354-1258-000,314 E BROWN ST,Colonial,2003,2.0,"1,824",Fiber-Cement,3,2,1,"3,146",2014-11,"255,000",2910,6
275-0014-000,1216 E VIENNA AV,Colonial,1927,2.0,"1,321",Aluminum / Vinyl,3,1,0,"6,300",2014-08,"228,000",3320,6
353-0542-000,2010 N 2ND ST,Cottage,1880,1.0,"1,520",Frame,3,2,0,"3,345",2014-04,"185,000",2910,6
321-1778-000,2724 N BOOTH ST,Cottage,1890,1.0,"1,320",Frame,3,1,1,"6,000",2014-10,"120,000",2810,6
353-0794-100,114 E VINE ST,Cottage,1880,1.0,"1,134",Frame,2,2,0,"2,800",2014-10,"144,000",2910,6
321-1727-000,2641 N HOLTON ST,Cottage,1885,1.0,"1,036",Aluminum / Vinyl,2,1,0,"3,000",2014-06,"45,000",2810,6
321-1769-000,2725B N PIERCE ST,Cottage,1895,1.0,934,Aluminum / Vinyl,2,1,0,"3,026",2014-06,"73,000",2890,6
312-2008-000,2728 N 7TH ST,Cottage,1895,1.0,900,Aluminum / Vinyl,2,1,0,"4,500",2014-06,"11,900",2930,6
283-0575-000,3135 N 11TH ST,Dplx Bungalow,1914,2.0,"3,054",Brick,5,3,1,"3,750",2014-11,"18,000",2850,6
282-0394-000,3242 N 2ND ST,Dplx Bungalow,1919,2.0,"2,321",Aluminum / Vinyl,6,2,0,"4,270",2014-01,"20,000",2900,6
273-0701-000,3616 N 4TH ST,Dplx Bungalow,1923,1.5,"1,954",Aluminum / Vinyl,4,2,0,"5,043",2014-04,"21,500",2820,6
271-2013-000,1933 W VIENNA AV,Dplx Bungalow,1924,1.5,"1,853",Aluminum / Vinyl,4,2,0,"4,284",2014-12,"36,000",2860,6
281-1607-000,3329 N HOLTON ST,Dplx Bungalow,1926,1.5,"1,788",Aluminum / Vinyl,3,2,0,"4,200",2014-10,"90,000",2800,6
281-9989-000,3276 N RICHARDS ST,Duplex O/S,1905,2.0,"3,346",Frame,4,4,0,"4,551",2014-01,"45,000",2900,6
