Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
327-0523-000,2470 N SHERMAN BL,Colonial,1921,2.0,"2,660",Brick,5,2,1,"8,250",2014-09,"139,000",2500,15
327-0793-000,2537 N GRANT BL,Colonial,1919,2.0,"2,381",Brick,3,1,1,"7,500",2014-10,"164,000",2500,15
324-2671-000,1801 W WRIGHT ST,Colonial,2005,2.0,"2,162",Aluminum / Vinyl,3,2,1,"6,139",2014-09,"90,000",2940,15
351-0792-000,1922 W BROWN ST,Colonial,2004,2.0,"2,020",Aluminum / Vinyl,3,2,1,"4,760",2014-10,"123,000",3000,15
350-3452-000,2124 W VINE ST,Colonial,2000,2.0,"1,862",Aluminum / Vinyl,3,2,1,"6,652",2014-12,"127,000",3000,15
350-3294-000,2132 W WALNUT ST,Colonial,2000,2.0,"1,790",Aluminum / Vinyl,4,2,1,"7,220",2014-10,"107,000",3000,15
349-2531-000,2018 N 29TH ST,Colonial,2001,2.0,"1,184",Aluminum / Vinyl,3,1,0,"5,400",2014-08,"54,900",2420,15
326-0307-000,2555 N 33RD ST,Colonial,2006,2.0,"1,168",Aluminum / Vinyl,3,1,1,"3,360",2014-01,"53,000",2400,15
350-3321-000,2335 W VINE ST,Colonial,1996,2.0,"1,152",Aluminum / Vinyl,3,1,0,"6,000",2014-08,"54,650",3000,15
364-1128-100,1443 N 24TH PL,Cottage,1900,1.0,685,Aluminum / Vinyl,2,1,0,"5,203",2014-10,"3,000",3040,15
328-1064-000,2470 N 49TH ST,Dplx Bungalow,1923,2.0,"3,291",Aluminum / Vinyl,5,2,0,"5,875",2014-06,"55,000",2520,15
328-0784-000,2544 N 45TH ST,Dplx Bungalow,1915,2.0,"2,653",Aluminum / Vinyl,6,2,0,"5,120",2014-11,"47,000",2520,15
328-1614-000,2613 N 44TH ST,Dplx Bungalow,1919,2.0,"2,358",Frame,4,2,0,"4,720",2014-09,"34,000",2520,15
311-2097-000,2767 N 16TH ST,Dplx Bungalow,1926,2.0,"2,239",Frame,4,2,0,"4,800",2014-07,"29,000",2950,15
308-0953-000,2701 N 37TH ST,Dplx Bungalow,1920,2.0,"1,964",Stucco,4,2,0,"3,680",2014-08,"17,000",1780,15
347-9982-000,2117 N 48TH ST,Duplex O/S,1911,2.0,"3,252",Aluminum / Vinyl,7,3,0,"4,800",2014-10,"166,900",2520,15
349-1171-100,2100 N 29TH ST,Duplex O/S,1907,2.0,"2,676",Frame,4,2,0,"5,400",2014-01,"31,500",2420,15
349-1593-000,1905 N 32ND ST,Duplex O/S,1898,1.5,"2,281",Aluminum / Vinyl,2,2,0,"2,400",2014-02,"61,500",2400,15
349-1593-000,1905 N 32ND ST,Duplex O/S,1898,1.5,"2,281",Aluminum / Vinyl,2,2,0,"2,400",2014-04,"61,500",2400,15
309-0398-000,2773 N 27TH ST,Duplex O/S,1900,2.0,"2,260",Aluminum / Vinyl,4,2,0,"3,600",2014-11,"37,000",2950,15
365-0760-000,1515 N 28TH ST,Duplex O/S,1897,2.0,"2,089",Aluminum / Vinyl,3,2,0,"3,600",2014-05,"40,000",2420,15
366-0904-000,3535 W VLIET ST,Duplex O/S,1900,1.5,"1,725",Aluminum / Vinyl,4,2,0,"3,600",2014-10,"35,925",2380,15
312-0007-000,908 W HADLEY ST,Duplex-Cottage,1900,2.0,"2,012",Frame,5,2,0,"3,910",2014-02,"21,000",2870,15
327-0777-000,2508 N GRANT BL,Milwaukee Bungalow,1921,1.0,"2,324",Brick,3,2,0,"5,950",2014-07,"165,000",2500,15
328-0756-000,2564 N 46TH ST,Milwaukee Bungalow,1919,1.0,"1,891",Brick,3,1,0,"5,000",2014-07,"65,000",2520,15
308-0830-000,2808 N 39TH ST,Milwaukee Bungalow,1919,1.0,"1,847",Brick,4,1,2,"4,800",2014-05,"78,500",1780,15
328-1005-000,2557 N 48TH ST,Milwaukee Bungalow,1923,1.0,"1,659",Brick,4,2,0,"5,000",2014-06,"99,000",2520,15
308-0462-000,2808 N 41ST ST,Milwaukee Bungalow,1919,1.0,"1,546",Frame,5,1,0,"4,720",2014-11,"79,900",1780,15
308-0893-000,2808 N 37TH ST,Milwaukee Bungalow,1922,1.0,"1,544",Aluminum / Vinyl,4,1,0,"4,800",2014-05,"18,500",1780,15
328-0754-000,2554 N 46TH ST,Milwaukee Bungalow,1919,1.0,"1,517",Aluminum / Vinyl,3,2,0,"5,000",2014-12,"95,000",2520,15
328-0754-000,2554 N 46TH ST,Milwaukee Bungalow,1919,1.0,"1,517",Aluminum / Vinyl,3,2,0,"5,000",2014-12,"95,000",2520,15
308-0834-000,2830 N 39TH ST,Milwaukee Bungalow,1919,1.0,"1,280",Aluminum / Vinyl,3,1,0,"4,800",2014-03,"32,900",1780,15
