Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
644-9977-111,5140 S 21ST ST,Bi-Level,1968,1.0,"2,418",Aluminum / Vinyl,4,3,0,"9,450",2015-09,"157,000",4780,13
690-9936-000,2505 W KIMBERLY AV,Bi-Level,1975,1.0,"2,076",Aluminum / Vinyl,4,2,0,"16,320",2015-03,"175,000",4860,13
644-1442-000,5264 S 21ST ST,Cape Cod,1946,1.0,"2,682",Aluminum / Vinyl,5,3,0,"13,390",2015-08,"254,900",4780,13
644-9913-211,2020 W GRANGE AV,Cape Cod,1936,1.0,"2,044",Stone,4,2,0,"15,660",2015-06,"206,500",4780,13
690-0962-000,6145 S 23RD ST,Cape Cod,2004,1.0,"1,997",Aluminum / Vinyl,3,2,1,"7,200",2015-08,"230,000",4860,13
644-1611-000,5247 S 22ND PL,Cape Cod,1974,1.0,"1,933",Brick,3,2,0,"8,320",2015-06,"207,500",4780,13
551-0959-000,3757 S 19TH ST,Cape Cod,1930,1.5,"1,899",Brick,3,2,0,"8,418",2015-12,"154,900",4520,13
580-0919-000,3915 S 1ST ST,Cape Cod,1940,1.5,"1,806",Aluminum / Vinyl,4,2,1,"7,200",2015-09,"160,000",4700,13
550-0410-000,3525 S 11TH ST,Cape Cod,1952,1.0,"1,796",Brick,4,2,0,"4,880",2015-03,"115,500",4520,13
581-0608-000,214 E BOLIVAR AV,Cape Cod,1941,1.0,"1,791",Brick,3,2,1,"7,875",2015-07,"183,000",4700,13
594-0621-000,4526 S AUSTIN ST,Cape Cod,1934,1.5,"1,769",Brick,3,1,2,"5,625",2015-02,"185,000",4720,13
644-1654-000,2335 W MANCHESTER AV,Cape Cod,1979,1.0,"1,643",Aluminum / Vinyl,3,2,0,"9,450",2015-03,"212,500",4780,13
594-0902-000,4444 S BURRELL ST,Cape Cod,1941,1.5,"1,590",Stone,3,1,1,"5,670",2015-12,"160,000",4720,13
551-1205-000,3606 S 14TH ST,Cape Cod,1949,1.0,"1,579",Stone,4,1,1,"5,330",2015-03,"150,800",4520,13
549-2001-000,206 W SAVELAND AV,Cape Cod,1936,1.5,"1,568",Brick,3,1,1,"6,370",2015-01,"196,000",4620,13
581-1127-000,4236 S AUSTIN ST,Cape Cod,1936,1.5,"1,555",Brick,3,1,1,"5,310",2015-09,"155,000",4700,13
549-0165-000,167 W TRIPOLI AV,Cape Cod,1936,1.0,"1,530",Aluminum / Vinyl,4,1,0,"5,080",2015-04,"156,950",4620,13
549-0405-000,3723 S 3RD ST,Cape Cod,1950,1.0,"1,503",Brick,4,2,0,"5,900",2015-07,"172,500",4620,13
551-0801-000,3712 S 15TH PL,Cape Cod,1948,1.5,"1,498",Aluminum / Vinyl,3,1,1,"4,998",2015-07,"141,000",4520,13
535-0955-000,3356 S 19TH ST,Cape Cod,1937,1.5,"1,438",Stone,3,1,0,"4,560",2015-11,"112,000",4520,13
594-0315-000,4414 S ADAMS AV,Cape Cod,1940,1.5,"1,409",Aluminum / Vinyl,3,1,1,"7,950",2015-12,"147,500",4720,13
551-1211-000,3569 S 14TH ST,Cape Cod,1949,1.0,"1,396",Stone,3,1,0,"5,617",2015-05,"125,000",4520,13
594-0007-000,4631 S PINE AV,Cape Cod,1950,1.0,"1,395",Brick,4,2,0,"6,000",2015-07,"185,000",4720,13
551-0433-000,3628 S 15TH PL,Cape Cod,1949,1.0,"1,393",Brick,3,1,0,"5,192",2015-09,"123,000",4520,13
669-0171-100,5921 S 26TH ST,Cape Cod,1951,1.0,"1,391",Block,3,1,0,"6,300",2015-06,"102,500",4860,13
580-0579-000,3939 S 5TH PL,Cape Cod,1949,1.5,"1,373",Aluminum / Vinyl,3,2,1,"5,040",2015-06,"139,000",4700,13
581-0806-000,4134 S BURRELL ST,Cape Cod,1940,1.5,"1,360",Aluminum / Vinyl,4,2,0,"5,670",2015-07,"146,500",4700,13
551-0725-000,3713 S 17TH ST,Cape Cod,1952,1.0,"1,358",Stucco,3,1,0,"4,720",2015-04,"65,000",4520,13
551-0725-000,3713 S 17TH ST,Cape Cod,1952,1.0,"1,358",Stucco,3,1,0,"4,720",2015-10,"115,000",4520,13
580-0302-000,4135 S 2ND ST,Cape Cod,1939,1.0,"1,344",Brick,3,2,0,"7,200",2015-01,"146,000",4700,13
551-9960-000,3531 S 15TH PL,Cape Cod,1952,1.0,"1,328",Brick,3,2,0,"4,545",2015-08,"119,900",4520,13
551-1097-000,3838 S 16TH ST,Cape Cod,1952,1.0,"1,327",Aluminum / Vinyl,3,1,0,"4,840",2015-08,"102,500",4520,13
551-1036-000,1720 W HOWARD AV,Cape Cod,1951,1.0,"1,323",Brick,3,1,0,"5,160",2015-09,"94,900",4520,13
643-9938-121,5343 S 13TH ST,Cape Cod,1950,1.0,"1,305",Aluminum / Vinyl,4,1,1,"8,580",2015-08,"124,900",4800,13
552-1225-000,3822 S 20TH PL,Cape Cod,1947,1.0,"1,302",Aluminum / Vinyl,2,2,0,"5,400",2015-05,"120,000",4360,13
594-0001-000,4601 S PINE AV,Cape Cod,1940,1.0,"1,293",Aluminum / Vinyl,4,1,0,"6,000",2015-01,"111,000",4720,13
552-0302-000,3543 S 24TH ST,Cape Cod,1953,1.0,"1,286",Aluminum / Vinyl,4,2,0,"6,708",2015-02,"144,000",4360,13
535-0153-000,3409 S 15TH ST,Cape Cod,1951,1.0,"1,271",Brick,4,1,1,"4,720",2015-02,"111,000",4520,13
582-0663-000,4454 S LENOX ST,Cape Cod,1942,1.0,"1,270",Aluminum / Vinyl,3,2,0,"6,600",2015-05,"135,500",4720,13
581-1037-000,4217 S TAYLOR AV,Cape Cod,1949,1.0,"1,267",Brick,3,1,1,"9,840",2015-12,"131,000",4700,13
594-0229-000,4408 S QUINCY AV,Cape Cod,1945,1.0,"1,256",Aluminum / Vinyl,4,1,0,"5,984",2015-06,"158,450",4720,13
582-0735-000,4361 S LENOX ST,Cape Cod,1950,1.0,"1,248",Stone,3,1,0,"5,336",2015-11,"105,000",4720,13
581-0807-000,4130 S BURRELL ST,Cape Cod,1940,1.0,"1,247",Block,3,1,0,"5,670",2015-05,"120,000",4700,13
594-0157-000,4439 S PINE AV,Cape Cod,1940,1.0,"1,238",Aluminum / Vinyl,3,2,0,"6,030",2015-10,"152,500",4720,13
552-0201-000,3757 S 24TH ST,Cape Cod,1954,1.0,"1,232",Aluminum / Vinyl,3,2,0,"5,300",2015-11,"117,000",4360,13
552-1131-000,3853 S 20TH ST,Cape Cod,1947,1.0,"1,232",Aluminum / Vinyl,4,1,0,"4,800",2015-10,"93,000",4360,13
551-0310-000,3547 S 15TH PL,Cape Cod,1950,1.0,"1,230",Brick,3,1,0,"5,050",2015-09,"68,500",4520,13
594-0320-000,4387 S QUINCY AV,Cape Cod,1949,1.0,"1,225",Aluminum / Vinyl,4,2,0,"7,500",2015-05,"150,000",4720,13
581-1049-000,608 E BOLIVAR AV,Cape Cod,1945,1.0,"1,221",Brick,3,1,0,"7,579",2015-07,"129,900",4700,13
594-0140-000,4533 S PINE AV,Cape Cod,1940,1.0,"1,214",Brick,4,1,0,"9,060",2015-06,"138,900",4720,13
535-0669-000,3129 S 17TH ST,Cape Cod,1950,1.0,"1,211",Brick,3,1,1,"4,800",2015-09,"115,500",4520,13
582-0690-000,4560 S LENOX ST,Cape Cod,1950,1.0,"1,211",Brick,2,1,0,"6,550",2015-10,"149,000",4720,13
534-0581-000,3233 S 23RD ST,Cape Cod,1945,1.0,"1,209",Brick,3,1,0,"4,800",2015-10,"110,000",4360,13
534-0084-000,3443 S 25TH ST,Cape Cod,1953,1.0,"1,208",Brick,3,1,0,"6,000",2015-04,"112,000",4360,13
552-1469-000,3744 S 24TH ST,Cape Cod,1950,1.0,"1,203",Aluminum / Vinyl,3,2,0,"5,805",2015-08,"123,900",4360,13
534-0220-000,3168 S 22ND ST,Cape Cod,1940,1.0,"1,202",Aluminum / Vinyl,4,1,0,"5,400",2015-06,"116,000",4360,13
551-0309-000,3543 S 15TH PL,Cape Cod,1950,1.0,"1,197",Brick,3,1,1,"5,050",2015-09,"115,000",4520,13
580-0042-000,3959 S 1ST PL,Cape Cod,1949,1.0,"1,195",Aluminum / Vinyl,3,2,0,"4,800",2015-06,"155,000",4700,13
581-0412-000,452 E WATERFORD AV,Cape Cod,1947,1.0,"1,194",Stucco,4,2,0,"6,345",2015-10,"137,900",4700,13
535-0056-000,3404 S 20TH ST,Cape Cod,1950,1.0,"1,181",Brick,3,1,1,"4,795",2015-06,"100,000",4520,13
581-1016-000,4220 S TAYLOR AV,Cape Cod,1948,1.0,"1,174",Stone,3,1,0,"11,625",2015-11,"79,900",4700,13
581-1141-000,4219 S GRIFFIN AV,Cape Cod,1953,1.0,"1,171",Brick,3,2,0,"5,588",2015-10,"133,450",4700,13
594-0493-000,4423 S BURRELL ST,Cape Cod,1951,1.0,"1,168",Brick,3,1,0,"6,600",2015-06,"115,000",4720,13
550-0117-000,980 W EDEN PL,Cape Cod,1951,1.0,"1,160",Brick,4,2,0,"5,040",2015-03,"108,000",4520,13
581-1157-000,4229 S ADAMS AV,Cape Cod,1953,1.0,"1,158",Brick,3,1,0,"5,080",2015-07,"102,000",4700,13
551-9905-000,3575 S 17TH ST,Cape Cod,1951,1.0,"1,146",Brick,3,1,0,"4,838",2015-11,"127,500",4520,13
595-0648-000,320 W VAN NORMAN AV,Cape Cod,1954,1.0,"1,145",Aluminum / Vinyl,3,1,1,"7,290",2015-05,"145,000",4740,13
580-0115-000,4008 S 1ST ST,Cape Cod,1940,1.0,"1,143",Aluminum / Vinyl,3,1,0,"5,400",2015-07,"118,500",4700,13
594-0249-000,4475 S TAYLOR AV,Cape Cod,1955,1.0,"1,118",Brick,3,1,1,"6,028",2015-07,"154,900",4720,13
551-0767-000,3717 S 15TH PL,Cape Cod,1948,1.0,"1,109",Aluminum / Vinyl,3,1,0,"4,520",2015-08,"117,900",4520,13
595-0424-000,344 W ALLERTON AV,Cape Cod,1956,1.0,"1,105",Brick,3,1,0,"8,050",2015-05,"140,000",4740,13
594-0643-000,4523 S BURRELL ST,Cape Cod,1939,1.0,"1,097",Brick,3,1,0,"4,560",2015-09,"112,000",4720,13
551-0644-000,3650 S 16TH ST,Cape Cod,1948,1.0,"1,096",Brick,3,2,0,"4,360",2015-06,"110,000",4520,13
581-1008-000,4252 S TAYLOR AV,Cape Cod,1941,1.0,"1,090",Aluminum / Vinyl,3,2,0,"5,750",2015-10,"130,000",4700,13
580-0583-000,3965 S 5TH PL,Cape Cod,1949,1.0,"1,071",Aluminum / Vinyl,3,1,0,"5,040",2015-06,"105,000",4700,13
552-0926-000,3731 S 24TH ST,Cape Cod,1954,1.0,"1,068",Aluminum / Vinyl,3,1,0,"5,350",2015-01,"90,000",4360,13
552-1452-000,3775 S 23RD ST,Cape Cod,1949,1.0,"1,067",Aluminum / Vinyl,3,2,0,"5,805",2015-12,"139,000",4360,13
623-9891-000,4719 S 23RD ST,Cape Cod,1948,1.0,"1,047",Brick,3,1,0,"5,805",2015-04,"118,000",4660,13
551-0793-000,3749 S 15TH ST,Cape Cod,1948,1.0,"1,042",Aluminum / Vinyl,3,2,0,"6,069",2015-08,"135,000",4520,13
552-1421-000,2235 W TRIPOLI AV,Cape Cod,1949,1.0,"1,039",Aluminum / Vinyl,3,1,0,"5,760",2015-07,"101,000",4360,13
551-0122-000,3845 S 13TH ST,Cape Cod,1954,1.0,"1,035",Aluminum / Vinyl,4,1,1,"4,840",2015-03,"100,000",4520,13
580-0724-000,4175 S 5TH ST,Cape Cod,1950,1.0,"1,020",Stone,3,1,0,"6,000",2015-07,"93,000",4700,13
551-0472-000,3622 S 19TH ST,Cape Cod,1947,1.0,"1,008",Stucco,3,1,0,"5,236",2015-12,"95,300",4520,13
551-0756-000,3738 S 17TH ST,Cape Cod,1943,1.0,"1,008",Aluminum / Vinyl,3,1,0,"4,760",2015-07,"102,500",4520,13
551-1111-000,3835 S 15TH ST,Cape Cod,1947,1.0,"1,008",Aluminum / Vinyl,2,1,0,"4,800",2015-01,"103,100",4520,13
580-0315-100,4234 S 3RD ST,Cape Cod,1948,1.0,"1,008",Brick,3,1,0,"4,800",2015-12,"128,000",4700,13
551-0987-000,3838 S 20TH ST,Cape Cod,1943,1.0,996,Aluminum / Vinyl,3,1,0,"4,840",2015-09,"108,800",4520,13
535-0714-000,3144 S 19TH ST,Cape Cod,1947,1.0,980,Aluminum / Vinyl,2,1,0,"5,246",2015-04,"111,000",4520,13
