Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
145-0774-000,6543 N 106TH ST,Bi-Level,1993,1.0,"1,877",Aluminum / Vinyl,4,3,0,"12,779",2014-10,"155,000",0820,5
116-0054-000,9505 W MARCELLE AV,Bi-Level,1972,1.0,"1,733",Aluminum / Vinyl,5,2,0,"12,000",2014-12,"126,500",0440,5
301-0029-000,9731 W TOWER VIEW BL,Cape Cod,1953,1.5,"2,496",Brick,3,3,1,"16,956",2014-11,"367,900",2140,5
183-0001-000,5257 N 107TH ST,Cape Cod,1940,1.5,"2,413",Block,5,3,0,"8,000",2014-12,"107,950",1040,5
109-0029-000,7234 N 99TH ST,Cape Cod,1980,1.5,"2,104",Aluminum / Vinyl,4,2,1,"12,000",2014-09,"210,000",0440,5
302-0747-000,2755 N 89TH ST,Cape Cod,1949,1.5,"1,931",Brick,4,2,0,"6,625",2014-07,"175,000",2120,5
302-0135-100,8928 W LOCUST ST,Cape Cod,1939,1.5,"1,857",Brick,3,2,0,"10,875",2014-04,"188,000",2080,5
292-0230-000,3161 N 82ND ST,Cape Cod,1962,1.0,"1,821",Aluminum / Vinyl,3,2,0,"6,500",2014-06,"176,900",2100,5
261-1381-000,3630 N 94TH ST,Cape Cod,1948,1.0,"1,773",Brick,3,2,0,"4,800",2014-05,"155,500",2100,5
294-0074-000,3334 N 98TH ST,Cape Cod,1955,1.0,"1,738",Frame,4,2,0,"6,120",2014-03,"173,000",2120,5
253-1025-000,4120 N 87TH CT,Cape Cod,1956,1.0,"1,725",Brick,3,2,0,"10,281",2014-07,"122,925",1460,5
261-0843-000,3537 N 95TH ST,Cape Cod,1948,1.0,"1,709",Aluminum / Vinyl,3,1,1,"6,000",2014-11,"144,000",2100,5
302-0760-000,2728 N 90TH ST,Cape Cod,1950,1.0,"1,650",Stone,4,1,1,"6,625",2014-08,"185,000",2120,5
303-0864-000,2845 N 78TH ST,Cape Cod,1948,1.0,"1,618",Brick,3,1,0,"5,120",2014-06,"165,000",2080,5
293-0512-000,3206 N 92ND ST,Cape Cod,1951,1.5,"1,593",Brick,3,1,1,"4,960",2014-07,"135,000",2120,5
303-0527-000,3039 N 77TH ST,Cape Cod,1952,1.5,"1,568",Brick,3,2,0,"4,800",2014-04,"123,000",2080,5
223-0371-000,8919 W HERBERT AV,Cape Cod,1955,1.0,"1,554",Brick,3,1,1,"7,200",2014-05,"84,900",1460,5
293-0085-000,3149 N 87TH ST,Cape Cod,1950,1.0,"1,554",Aluminum / Vinyl,2,2,0,"6,360",2014-05,"83,800",2100,5
293-0085-000,3149 N 87TH ST,Cape Cod,1950,1.0,"1,554",Aluminum / Vinyl,3,2,0,"6,360",2014-09,"165,000",2100,5
261-0867-000,3517 N 96TH ST,Cape Cod,1953,1.0,"1,534",Aluminum / Vinyl,3,2,0,"5,650",2014-03,"134,000",2100,5
293-0748-000,3308 N 90TH ST,Cape Cod,1951,1.0,"1,529",Stucco,3,2,0,"5,000",2014-06,"111,250",2100,5
