Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
145-0626-000,10128 W MILL RD,Bi-Level,1994,1.0,"1,462",Aluminum / Vinyl,4,2,0,"9,010",2014-11,"87,000",0820,2
178-0409-000,5779 N 92ND ST,Bi-Level,1970,1.0,"1,183",Aluminum / Vinyl,3,1,0,"4,800",2014-09,"85,000",1020,2
250-0095-000,4048 N 63RD ST,Cape Cod,1955,1.5,"2,383",Brick,6,1,1,"6,500",2014-01,"85,600",1490,2
212-0452-000,4908 N 73RD ST,Cape Cod,1950,1.0,"1,740",Brick,5,2,0,"8,100",2014-07,"112,500",1480,2
226-1060-000,4330 N 67TH ST,Cape Cod,1957,1.5,"1,728",Brick,4,2,0,"5,250",2014-07,"114,900",1490,2
226-0886-000,4475 N 64TH ST,Cape Cod,1948,1.0,"1,468",Brick,4,1,1,"5,460",2014-04,"77,500",1490,2
211-0358-000,5137 N 66TH ST,Cape Cod,1956,1.0,"1,458",Brick,4,2,0,"10,080",2014-09,"98,700",1380,2
212-0726-100,7116 W HAMPTON AV,Cape Cod,1951,1.0,"1,438",Brick,3,2,0,"4,800",2014-05,"115,900",1480,2
211-0613-000,4881 N 67TH ST,Cape Cod,1947,1.0,"1,430",Stone,3,1,1,"4,800",2014-11,"81,000",1380,2
211-0160-000,5066 N 61ST ST,Cape Cod,1952,1.5,"1,389",Brick,4,2,0,"6,160",2014-06,"98,000",1140,2
211-0136-000,5111 N 61ST ST,Cape Cod,1952,1.5,"1,379",Brick,3,2,0,"6,160",2014-12,"95,000",1140,2
250-1100-000,4270 N 62ND ST,Cape Cod,1953,1.0,"1,369",Aluminum / Vinyl,2,1,0,"7,280",2014-08,"92,700",1490,2
150-9919-000,6243 N 105TH ST,Cape Cod,1940,1.5,"1,335",Aluminum / Vinyl,3,2,0,"7,980",2014-07,"130,000",0820,2
226-0058-000,4525 N 65TH ST,Cape Cod,1948,1.0,"1,302",Aluminum / Vinyl,4,1,1,"5,330",2014-08,"68,900",1490,2
250-0316-000,4028 N 62ND ST,Cape Cod,1950,1.0,"1,295",Brick,3,1,0,"7,800",2014-08,"71,000",1490,2
175-0895-000,5672 N 69TH ST,Cape Cod,1948,1.0,"1,290",Aluminum / Vinyl,3,1,0,"9,600",2014-12,"45,000",0980,2
225-0371-000,4241 N 72ND ST,Cape Cod,1963,1.0,"1,270",Aluminum / Vinyl,3,2,0,"4,840",2014-06,"134,900",1480,2
226-0252-000,6124 W SPENCER PL,Cape Cod,1954,1.0,"1,233",Brick,3,1,0,"5,760",2014-05,"95,000",1490,2
211-0412-000,5109 N 64TH ST,Cape Cod,1951,1.0,"1,214",Brick,3,2,1,"5,040",2014-09,"106,500",1380,2
225-1090-000,4550 N 70TH ST,Cape Cod,1957,1.0,"1,135",Aluminum / Vinyl,4,1,0,"5,280",2014-08,"111,000",1480,2
211-0803-000,4961 N 60TH ST,Cape Cod,1952,1.0,"1,098",Aluminum / Vinyl,4,1,0,"5,400",2014-12,"51,000",1140,2
