Taxkey,Address,Style,YearBld,Story,Units,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
034-1189-000,8835 N SWAN RD,AP 3,1978,2.0,12,"9,700",Frame,20,1,0,"26,499",2014-04,"447,700",6870,9
305-1052-000,6125 W GIRARD AV,AP 1,1948,2.0,4,"3,746",Brick,8,1,0,"8,496",2014-10,"171,750",6670,10
402-0732-100,442 N 39TH ST,AP 1,1913,2.0,4,"3,188",Brick,8,1,0,"4,500",2014-08,"85,000",6720,10
304-0086-000,3074 N 73RD ST,AP 1,1949,2.0,4,"2,700",Brick,6,1,0,"4,680",2014-09,"100,000",6660,10
416-1131-100,503 S 92ND ST,Town House Apt,1967,2.0,4,"4,854",Aluminum / Vinyl,12,1,1,"8,190",2014-10,"415,000",6800,10
559-0042-000,7639 W MORGAN AV,AP 1,1959,2.0,4,"3,360",Brick,8,1,0,"9,280",2014-07,"236,000",6820,11
559-1019-000,7638 W HOWARD AV,AP 1,1959,2.0,4,"3,354",Brick,8,1,0,"9,600",2014-04,"234,000",6820,11
526-9926-100,8806 W MORGAN AV,AP 1,1959,2.0,4,"3,210",Brick,8,1,0,"7,800",2014-12,"225,000",6820,11
526-0319-000,3430 S 92ND ST,AP 1,1959,2.0,4,"3,100",Brick,8,1,0,"10,220",2014-01,"227,800",6820,11
526-0305-000,3338 S 92ND ST,AP 1,1960,2.0,4,"3,080",Brick,8,1,0,"8,680",2014-08,"245,000",6820,11
527-0504-000,3367 S 76TH ST,AP 1,1959,2.0,4,"3,078",Brick,8,1,0,"8,640",2014-08,"240,000",6820,11
531-0416-000,4835 W OKLAHOMA AV,AP 1,1951,2.0,4,"3,070",Brick,8,1,0,"8,211",2014-05,"210,000",6830,11
512-0639-000,4730 W OKLAHOMA AV,AP 1,1952,2.0,4,"2,766",Brick,6,1,0,"7,920",2014-12,"140,000",6830,11
559-0220-100,8009 W MORGAN AV,AP 2,1965,2.0,8,"6,912",Brick,15,1,0,"17,420",2014-08,"500,000",6820,11
527-0502-100,3355 S 76TH ST,AP 2,1960,2.0,8,"6,676",Brick,16,1,0,"17,280",2014-06,"540,000",6820,11
527-0501-000,3337 S 76TH ST,AP 2,1958,2.0,8,"4,434",Brick,8,1,0,"17,280",2014-06,"495,000",6820,11
526-0504-100,3476 S 92ND ST,AP 3,1995,2.0,16,"18,422",Masonry / Frame,16,1,0,"28,698",2014-01,"1,425,000",6881,11
526-1511-000,8423 W OKLAHOMA AV,AP 3,1964,2.0,16,"11,640",Brick,20,1,0,"38,325",2014-10,"800,000",6881,11
497-0117-000,2491 S 12TH ST,AP 1,1900,2.0,4,"3,407",Block,8,1,0,"2,775",2014-01,"80,000",6780,12
461-1461-000,1629 S 7TH ST,AP 1,1892,2.0,5,"3,285",Aluminum / Vinyl,8,1,0,"4,200",2014-09,"50,000",6730,12
432-0318-000,1201 S 12TH ST,AP 1,1945,2.0,4,"3,184",Brick,8,1,0,"8,100",2014-05,"105,500",6730,12
469-1839-000,1704 W LINCOLN AV,AP 1,1900,2.0,4,"2,940",Frame,7,1,0,"3,300",2014-02,"50,000",6780,12
433-1825-000,1229 S CESAR E CHAVEZ DR,AP 1,1883,2.0,4,"2,926",Aluminum / Vinyl,5,1,0,"3,750",2014-10,"89,000",6730,12
433-0304-000,1434 W GREENFIELD AV,AP 1,1893,2.0,4,"2,688",Aluminum / Vinyl,4,1,0,"4,200",2014-10,"52,000",6730,12
467-0530-000,2042 S 6TH ST,AP 1,1885,2.0,4,"2,033",Aluminum / Vinyl,4,1,0,"2,880",2014-05,"37,117",6780,12
468-0074-000,828 W WINDLAKE AV,AP 2,1886,2.0,8,"5,332",Aluminum / Vinyl,11,1,0,"7,280",2014-01,"164,000",6780,12
577-9928-211,2222 W BOLIVAR AV,AP 2,1968,2.0,8,"9,896",Masonry / Frame,23,1,1,"19,698",2014-08,"450,000",6850,13
553-0517-000,3041 W FARDALE AV,AP 2,1961,2.0,8,"6,528",Brick,16,1,0,"12,420",2014-11,"360,000",6840,13
553-0505-000,3020 W FARDALE AV,AP 2,1961,2.0,8,"4,950",Brick,8,1,0,"10,597",2014-08,"301,000",6840,13
689-0405-100,6115 S 13TH ST,AP 3,1969,2.0,12,"11,000",Brick,24,1,0,"25,100",2014-09,"560,000",6880,13
577-0201-000,3909 S 20TH ST,AP 3,1961,2.0,16,"8,626",Brick,16,1,0,"13,231",2014-11,"650,000",6880,13
498-0108-200,2323 S 5TH ST,AP 1,1898,2.0,4,"3,792",Aluminum / Vinyl,8,1,0,0,2014-03,"275,000",6780,14
538-0970-000,3378 S HOWELL AV,AP 1,1955,2.0,4,"3,524",Brick,8,1,0,"5,553",2014-02,"255,000",6861,14
582-0410-000,926 E WATERFORD AV,AP 1,1957,2.0,4,"3,360",Brick,8,1,0,"10,320",2014-07,"215,000",6861,14
497-0667-000,977 W ARTHUR AV,AP 1,1901,2.0,4,"2,967",Aluminum / Vinyl,8,1,0,"3,600",2014-06,"75,000",6780,14
500-1026-100,533 E LINCOLN AV,AP 1,1890,2.0,4,"2,778",Masonry / Frame,4,1,0,"6,850",2014-04,"182,500",6860,14
505-1117-000,3047 S HOWELL AV,AP 2,1928,2.0,8,"6,400",Brick,8,1,0,"8,625",2014-10,"400,000",6860,14
311-2096-000,2763 N 16TH ST,AP 1,1927,2.0,4,"3,716",Aluminum / Vinyl,8,1,0,"4,800",2014-01,"25,000",6701,15
311-2096-000,2763 N 16TH ST,AP 1,1927,2.0,4,"3,716",Aluminum / Vinyl,8,1,0,"4,800",2014-01,"55,000",6701,15
311-2096-000,2763 N 16TH ST,AP 1,1927,2.0,4,"3,716",Aluminum / Vinyl,8,1,0,"4,800",2014-01,"33,000",6701,15
