Taxkey,Address,Style,YearBld,Story,FinSqft,Exterior,BedRms,FullBath,HalfBath,LotSqft,SaleDate,Sale $,Nbhd,Ald
175-0821-100,5736 N 69TH ST,Cape Cod,1948,1.5,"1,870",Brick,4,2,0,"7,200",2016-02,"92,000",0980,2
250-0078-000,4055 N 62ND ST,Cape Cod,1955,1.0,"1,320",Brick,3,1,0,"5,330",2016-01,"45,000",1490,2
250-1046-000,4330 N 62ND ST,Cape Cod,1956,1.0,"1,282",Brick,3,2,0,"5,200",2016-01,"99,900",1490,2
211-0407-000,5122 N 65TH ST,Cape Cod,1951,1.0,"1,280",Brick,3,1,1,"6,360",2016-01,"84,000",1380,2
176-0285-000,5829 N 79TH ST,Cape Cod,1961,1.0,"1,250",Frame,4,1,1,"4,800",2016-03,"95,000",0980,2
189-0037-000,5227 N 66TH ST,Cape Cod,1955,1.0,"1,013",Aluminum / Vinyl,4,1,1,"6,020",2016-02,"57,000",1140,2
226-0870-000,4401 N 65TH ST,Duplex N/S,1965,2.0,"2,901",Brick,6,4,0,"5,460",2016-01,"90,000",1490,2
212-0061-100,7345 W MEDFORD AV,Duplex N/S,1955,1.5,"2,294",Brick,5,2,0,"7,800",2016-03,"120,850",1480,2
225-0217-000,4446 N 76TH ST,Duplex N/S,1958,2.0,"2,114",Brick,6,2,0,"4,800",2016-01,"70,000",1480,2
213-0181-000,8215 W VILLARD AV,Duplex N/S,1955,2.0,"2,040",Aluminum / Vinyl,6,2,0,"6,000",2016-02,"21,400",1400,2
212-0870-000,4834 N 76TH ST,Duplex N/S,1946,1.5,"1,822",Brick,3,2,1,"7,300",2016-02,"77,000",1480,2
151-0071-000,9601 W RIO ST,Ranch,1963,1.0,"1,233",Aluminum / Vinyl,3,2,0,"9,344",2016-02,"125,000",0050,2
225-0719-000,4624 N 69TH ST,Ranch,1958,1.0,"1,171",Brick,3,1,0,"5,120",2016-02,"66,900",1480,2
212-0750-000,4936 N 72ND ST,Ranch,1961,1.0,"1,120",Aluminum / Vinyl,3,2,0,"7,980",2016-01,"104,000",1480,2
187-0394-000,5209 N 83RD ST,Ranch,1956,1.0,"1,041",Aluminum / Vinyl,3,1,1,"5,600",2016-02,"102,000",1400,2
186-0060-000,5336 N 90TH ST,Ranch,1958,1.0,936,Aluminum / Vinyl,3,2,0,"7,200",2016-02,"90,000",1400,2
213-0390-000,7811 W HERBERT AV,Ranch,1955,1.0,936,Aluminum / Vinyl,3,1,0,"5,376",2016-03,"62,000",1400,2
152-0210-000,8750 W BENDER AV,Ranch,1958,1.0,908,Aluminum / Vinyl,3,1,0,"7,280",2016-01,"60,000",0700,2
190-9816-000,5359 N 58TH ST,Ranch,1953,1.0,907,Aluminum / Vinyl,2,1,0,"6,020",2016-01,"25,000",1140,2
188-0729-000,5301 N 68TH ST,Ranch,1954,1.0,894,Aluminum / Vinyl,3,1,0,"6,000",2016-01,"41,100",1380,2
188-0614-000,7018 W HERBERT AV,Ranch,1956,1.0,884,Aluminum / Vinyl,3,1,0,"6,696",2016-02,"67,500",1380,2
188-0195-000,7002 W HERBERT AV,Ranch,1955,1.0,864,Aluminum / Vinyl,3,1,0,"6,820",2016-03,"72,500",1380,2
211-1025-000,4915 N 63RD ST,Ranch,1954,1.0,864,Aluminum / Vinyl,2,1,0,"6,960",2016-02,"23,500",1140,2
226-0378-000,6031 W LEON TR,Residence O/S,1930,1.5,"1,623",Brick,4,2,0,"9,600",2016-02,"48,500",1490,2
178-0348-000,5825 N 91ST ST,Triplex,1959,2.0,"2,775",Brick,5,3,1,"7,200",2016-02,"103,300",1020,2
